,-4,-3,-2,-1,0,1,2,3,4
GDP (output),0.346087310481044,0.570228332859878,0.784378514095852,0.94052094731231,1,0.94052094731231,0.784378514095852,0.570228332859878,0.346087310481044
 (s.e.),0.0176664309370581,0.0120739979456544,0.00619966579645532,0.00173501728650229,8.85651591195319e-18,0.00173501728650229,0.00619966579645532,0.0120739979456544,0.0176664309370581
 (p-val.),7.14613442758477e-28,3.4383301359428e-63,1.58871588926964e-106,8.14630749888534e-170,NA,8.14630749888534e-170,1.58871588926964e-106,3.4383301359428e-63,7.14613442758477e-28
Consumption,0.871728974988402,0.971142447145657,0.974164917079779,0.879805529203623,0.709792039903614,0.498013750959364,0.291451911235165,0.123019166245402,0.0102914823737321
 (s.e.),0.00406421465751245,0.00115918953912898,0.000825522868453317,0.00333226960550962,0.00824726282754959,0.0139308902358897,0.0187301792649133,0.0214723257911346,0.0216837365227861
 (p-val.),1.19285246900833e-129,1.1471758881854e-188,2.08681095522585e-203,1.31172540894729e-138,1.37591389884087e-89,4.3321993805425e-51,3.46500191909148e-22,4.85480111651045e-13,5.49677632708539e-10
Investment,-0.435457282831527,-0.27066557060824,-0.0116507212620256,0.289020196509905,0.561815632193924,0.738117334747599,0.786771655094032,0.71187014776,0.549882662335259
 (s.e.),0.0133262549093028,0.0120280757910564,0.00820189813001181,0.00364478327315428,0.00364134799740086,0.00559157982738721,0.00504860077811423,0.00367502547283151,0.00759694757916982
 (p-val.),1.78408556535872e-46,1.50015646571456e-28,0.999983424174847,1.64818590870884e-76,8.13038740936713e-113,5.33992896526107e-108,1.90406754100444e-115,3.43173938111904e-124,1.53636990427894e-80
Gov. Expenditure,0.732735690465197,0.873230691116211,0.917973207485129,0.859493379951173,0.714036139387661,0.513237975514405,0.308764859768403,0.140086821278028,0.029688513293259
 (s.e.),0.00532919623960874,0.00256613976278552,0.00231965162240458,0.00469235932348551,0.00923879570972229,0.0146564758047936,0.0193019183851174,0.0219547993001768,0.0221060107804352
 (p-val.),1.07187936372339e-109,1.81321642576279e-149,3.47534863838023e-156,8.14086504682631e-123,4.37621674282207e-85,1.54935038524624e-50,7.98265530510831e-23,1.15735739435311e-13,6.68022583605195e-10
Imports,-0.000418663410852623,0.0372090135288283,0.0750372528949206,0.106765515584112,0.128908895302148,0.138134043057383,0.133277150364095,0.11241046487984,0.0764274421004123
 (s.e.),0.00944209770473764,0.00822600364697562,0.0076746533911668,0.00848943408255962,0.0101877151750731,0.0117253569922741,0.0125462753210826,0.0125561099446902,0.0120085888711307
 (p-val.),0.985922730818635,0.998568206552217,0.477314307416298,2.45388095963305e-05,5.80424230873126e-10,1.33468781908186e-11,5.38771941384584e-12,2.12690791272685e-09,0.000134869289743478
Exports,0.356019390479137,0.32362666134308,0.269663676239771,0.205636282145421,0.141067847932274,0.0830158377085513,0.039567960010241,0.0156468490823109,0.0123387552386007
 (s.e.),0.0146656175881667,0.0136764474586485,0.0126596434349597,0.0126959650284838,0.0139095442053094,0.0152050331854614,0.0155607317654122,0.0145778941148903,0.0125536407521001
 (p-val.),2.10139197201227e-34,6.64996214190822e-32,1.46243677531047e-26,4.95927444701841e-17,8.70209770320494e-09,5.1270563333676e-07,1.69781353660623e-06,0.000190088211721411,0.0234281389472995
Net Exports,0.062580971270474,0.0348266086297261,0.00516210531505604,-0.021970755539409,-0.0448091704731634,-0.0610047878129057,-0.0679772070164623,-0.0618758364583524,-0.0412074170252495
 (s.e.),0.0123202369168132,0.0109811291053749,0.00948734172635221,0.00899847405163821,0.00996399830384563,0.0113091274999694,0.0120500319592167,0.0118531209114007,0.0109721017649892
 (p-val.),0.0366770423076383,0.571949312907333,0.990253187875463,0.988364869429431,0.322622654787381,0.00423835248908892,0.000216949322352815,0.00068829022174432,0.0704013325248647
Price,-0.233236612876967,-0.0522299035566115,0.0836153583140354,0.157243693156577,0.171165619616608,0.141333498606165,0.0935201387635994,0.0501631691177838,0.0264553306901186
 (s.e.),0.0102312095060579,0.012849138645375,0.014417518548464,0.0144016160920281,0.013105291522664,0.0115158745831385,0.0110002939777793,0.0117616482099877,0.0128402409856924
 (p-val.),9.50908036227102e-27,0.001576303261161,4.54652372696506e-06,4.00718710433998e-12,5.54293818915573e-13,1.46039453216054e-08,0.00544443692249129,0.0598517469620175,0.0212767738154837
Profits,0.29731122070323,0.487003480803827,0.690280123339231,0.86334804011555,0.961565037887308,0.948743328808857,0.832502391791364,0.64136604661364,0.420794575735807
 (s.e.),0.0181657864287028,0.0140340563897574,0.00881315385809189,0.00400067212835746,0.00113390996519058,0.0013252877477672,0.00440222895913653,0.00950813177191177,0.0151289597639821
 (p-val.),2.22053093242112e-23,9.28508493122953e-50,1.91908649458648e-85,7.27229524383022e-130,3.80476803315067e-189,8.31372180969283e-182,5.02606331527005e-124,1.04634867766624e-78,3.10523030743313e-40
Wages,0.374074977491139,0.606589119162518,0.815971940862678,0.953908940170232,0.986904976765161,0.901605982652783,0.727901709243785,0.508424154077044,0.29027505264501
 (s.e.),0.017375291198876,0.011393845285294,0.00551237472174852,0.00141667618571371,0.000331451668041468,0.00261220636030416,0.00740753483692591,0.0132276134999558,0.0184014385843847
 (p-val.),1.07827116903443e-30,1.61300838439817e-68,1.94187958640341e-113,3.3812579497943e-179,2.97137832834285e-243,3.15220760623069e-150,2.37053952930092e-95,4.41771703385137e-54,4.47711511312355e-22
Profit Share,-0.16265448560937,-0.259351522266238,-0.272843272086039,-0.19251890660133,-0.043510585484307,0.122261871233071,0.254209985989747,0.320147190831399,0.316126286108
 (s.e.),0.00813273353305469,0.00961663572404557,0.0109354244694999,0.0107552471790997,0.00942347411592942,0.00808675020587708,0.0076615866664231,0.00751190401577328,0.00697567878555159
 (p-val.),4.10915035033989e-16,2.92758282382702e-33,3.20882287950724e-32,1.48726856933519e-18,0.746662120254408,4.89615856675227e-07,8.91948813370398e-40,5.21038370669817e-53,3.14252565278054e-55
Wage Share,0.16265448560937,0.259351522266238,0.272843272086039,0.19251890660133,0.0435105854843067,-0.122261871233072,-0.254209985989748,-0.3201471908314,-0.316126286108
