t,Real_GDP,C_r,I_r,G_r,M_r,X_r,NX_r,K_r,INVE_r,P,PROFITS,WAGE,PROD,MK,EMP,KL,GDP_G,P_G,CON_G,INV_G,GOV_G,M_G,X_G,NX_G,K_G,INVE_G,PROD_G,PROFITS_G,WAGE_G,MK_G,EMP_G,U,Profit_Share,Wage_Share,PCU,PR,CGDP,IGDP,GGDP,NXGDP,INVGDP,KGDP
1,192.7755083,161.9412188,1.647465614,27.53935833,1.317972491,4.942396842,3.624424351,320,13.76967917,3.75,61.77996053,103.4561895,1,1.5,275.3935833,4.3574,1.474342341e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1393950521,0.3738888889,0.6261111111,0.8571428571,0.1930623766,0.8400507937,0.008546031746,0.1428571429,0.01880126984,0.07142857143,1.659961905
2,184.985522236,161.9412188,1.482719053,27.53935833,3.55099179283,3.94734368182,0.396351888706,310,12.5917516528,3.75,62.472452707,95.015075026,1.12324385994,1.5,243.753364452,4.76916494311,-0.0101024063538,-2.220446049e-16,-2.03587346021e-16,-0.1,-7.7402972916e-17,1.69428369457,-0.201330081792,-0.890644182274,-0.03125,-0.0855450224427,0.123243859755,0.0112090097667,-0.0815911980689,1.71714494462e-16,-0.114890908141,0.129281017357,0.396681906227,0.603318093773,0.903682189413,0.201524041,0.875426448719,0.00801532484774,0.148873046968,0.00214260990687,0.0680688493834,1.67580682136
3,187.727758517,160.045609288,2.42373025688,28.1552613766,5.76337826514,4.07567629876,-1.6877019664,305.697198988,11.4352394851,3.66796785743,66.2157374046,94.1497801623,1.16841760943,1.53333277348,233.03302984,4.81171060961,-0.0166485566634,-3.37507799496e-16,-0.0117055403966,0.634652399294,0.0223644660354,0.623035812985,0.0325111337192,-5.25887048879,-0.0138800032579,-0.091846792078,0.0402172238104,0.0599189633729,-0.00910692153001,0.022221849001,-0.043980252224,0.098056737134,0.412905080071,0.587094919929,0.915037577616,0.216605662794,0.852540995638,0.0129108784423,0.149979213278,-0.00899016163018,0.0609139563641,1.62840702151
4,188.735517711,158.591990408,3.06871005589,26.9617779563,10.24845942027,3.89831730682,-6.35014211317,292.469133649,8.68263943686,3.66941772964,62.2556367984,99.5193416091,1.18730690637,1.4994790832,224.730835135,4.77545249612,-0.0218877992631,-0.0222734496825,-0.00908252898197,0.266110547225,-0.042389356805,0.778231861449,-0.04351648321053,2.7630564952,-0.0432717949276,-0.240710609592,0.0161665630451,-0.059805952584,0.0570321202107,-0.0220785017416,-0.0356266835536,0.076511943367,0.384828557958,0.615171442042,0.914752989014,0.21286227059,0.840286955709,0.0162593110631,0.142854826088,-0.033645777139,0.0460043086169,1.54962430206
5,186.665208246,157.781272115,4.53378098185,27.0392263504,13.0442031279,4.0051995265,-9.03900360147,281.864902791,8.71654436755,3.65890742479,60.5345010086,99.4316254964,1.19375620599,1.50440048218,223.526931208,4.61384161838,-0.0298119128324,-0.0217058002235,-0.00511198102661,0.47751988924,0.00287252551626,0.272861462554,0.02737607811909,0.42356212355,-0.0362575589998,0.00391281139048,0.0054318725622,-0.027646146786,-0.0008813724394857,0.00328207247215,-0.00535704311035,0.0447871561175,0.378419030864,0.621580969136,0.937003310328,0.214763316962,0.845265944665,0.0242871678644,0.144854570382,-0.0484253738559,0.0466974488396,1.51000246092
6,185.11144689,156.662871657,4.2288949811,27.1351877221,13.4837346141,3.86393943743,-9.61979517609,271.342693856,9.04912271612,3.64596799802,59.8428555857,98.9349537464,1.19739272932,1.50534326112,220.051084767,4.49580620884,-0.019745680773,-0.0243316978396,-0.00708831038545,-0.0664698777333,0.00354896888581,0.034046566479561,-0.03521380796622,0.065103393634072,-0.0373302160644,0.038471611119879,0.00304628581998,-0.01140274593427,-0.00499531894952,0.000626680889085,-0.0155497368361,0.0245695328162,0.376894334946,0.623105665054,0.949320937572,0.220546475488,0.846320074213,0.0228451233197,0.146589040085,-0.0519721005473,0.04888967557,1.46584251737
7,183.439612571,157.16843787,2.16136593435,27.2233999066,17.5617084579,3.50728750749,-14.0544209502,275.690189128,7.21733764306,3.6341539423,60.1932448995,97.4465827094,1.20013912468,1.50498735779,213.508645541,4.69255431334,-0.0188753593968,-0.0275226316611,0.0032270387471,-0.48901138503,0.00325084112763,0.30621608113645,-0.0922776817003,0.4690242701133,0.0160221786011,-0.201950252386,0.00229370193641,0.005914203733431,-0.0150439235774,-0.000236426735805,-0.0297319835762,0.0181379927145,0.381838123676,0.618161876324,0.952113877362,0.218336946413,0.856792925898,0.01178235207914,0.148406507118,-0.0766310002164,0.0393415448005,1.5028980275
8,184.456379247,156.891482931,2.89034442117,25.4998326372,11.1224489329,3.55218154575,-7.57026738723,283.683531208,6.8020460143,3.63565629122,59.5394164674,98.5318196928,1.19654378353,1.49929494492,220.491353631,4.67763275064,-0.0192935538319,-0.00843950698368,-0.0017621883226957,0.342126891312,-0.0633119267921,-0.364806122952,0.01276348213585,-0.458834060766,0.0289989648823,-0.0559083151392217,-0.002995736535849,-0.0108530346624952,0.0111376025913,-0.00378236566997,0.0327121772188,0.0481112975681,0.376659610217,0.623340389783,0.409661275366,0.209879040718,0.850566153877,0.015669379884,0.13824283668,-0.0410425886973,0.0368769223903,1.53794740372
9,183.043014945,156.05817213,4.06048523229,25.4603654783,13.8335012854,3.732816364,-10.10068492122,291.285020481,7.47762436621,3.64129862919,58.3805725647,98.4169362102,1.18143403817,1.48297572519,220.712038495,4.80562444448,-0.01612580395047,-0.00875878673364,-0.00531205660027,0.403608782055,-0.001547568518501,0.2441816579668,0.0508952050848,0.33581366875195,0.0267961782503,0.09997886879314,-0.01262781868797,-0.019459733119986,-0.0011655363057287,-0.0108845981369568,0.00100414275472665,0.0800343126156,0.372325240352,0.627674759648,0.909117363993,0.200423296792,0.852590187573,0.0221818954663,0.139095672972,-0.0552006263429,0.0408587461531,1.59136729549
10,184.641644934,155.492891663,4.066307709,25.4178190723,9.8269740057,3.91304731252,-5.91392669285,301.449498033,7.94872065262,3.64740309003,59.1112083099,99.002243712,1.19352512961,1.49917591522,222.961699636,4.93193007804,-0.01691834000144,-0.00531616694607,-0.003623072833062,-0.0036890033306,-0.00167226633534,-0.288615085858,0.0484284197136,-0.413355346843,0.03494939427587,0.06346753015731,0.0102405660632453,0.01253800745669,0.0059462333799,0.010931898129702,0.01019302862174,0.0848569189027,0.373848871396,0.626151128604,0.901688565629,0.196916292381,0.842143128933,0.022014177431,0.137661018262,-0.032036502591,0.0430543799809,1.63235581453
