t,Real_GDP,C_r,I_r,G_r,M_r,X_r,NX_r,K_r,INVE_r,P,PROFITS,WAGE,PROD,MK,EMP,KL,GDP_G,P_G,CON_G,INV_G,GOV_G,M_G,X_G,NX_G,K_G,INVE_G,PROD_G,PROFITS_G,WAGE_G,MK_G,EMP_G,U,Profit_Share,Wage_Share,PCU,PR,CGDP,IGDP,GGDP,NXGDP,INVGDP,KGDP
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.00281515942654635,0,0,0,0.0049815021715714,7.3961254496767e-05,0.00505546342677413,0,0.000252773387016955,0,0.000965593586537374,0.00134402303600349,6.0155956941546e-07,0,0.00486946390323932,9.52796567896841e-05,3.65083003249079e-06,0,1.59182043930781e-16,0,1.77773784730018e-16,0.00377967083188618,1.49646483079396e-05,0.0013948320973244,0,1.83572305832469e-05,6.01557330680795e-07,1.56295584740539e-05,1.2991227516796e-05,1.86676181891043e-16,1.76818375312703e-05,1.73943577352213e-05,3.13755992130429e-07,3.13755992135895e-07,1.82981062961195e-05,3.11481686943383e-06,1.33231222071279e-05,1.21985343923874e-07,2.26570099625249e-06,2.72976600840177e-05,3.30572606117116e-07,2.55041422230962e-05
3,0.0139870290179895,0.000468959039428842,4.7585566910204e-05,2.61536571423161e-06,0.0137320179592133,0.000224676133952066,0.0139331274906826,0.102239116230419,0.0143274240915161,3.40743134842969e-07,0.0123685226961345,0.00277654265262628,4.36959165106631e-06,4.96294783792411e-06,0.00994343448810469,0.00162303986831314,2.01495850127309e-05,6.68000262256006e-17,2.89583566953123e-06,3.20934569481206e-05,9.49748664193991e-08,0.00420688134169098,5.88714367132623e-05,0.0712450433455155,0.000329803612398045,0.00114869659759604,4.08460537263508e-06,0.000189232878248825,3.58412598730859e-05,3.30861977054977e-06,5.00842483280742e-05,0.000345407825371709,4.62312566785712e-05,4.62312566785646e-05,3.87538667938377e-05,8.0047049146682e-05,6.23729556041882e-05,1.01371104019134e-06,1.11836411468235e-05,7.48256288776073e-05,8.04018751816776e-05,0.000549026263078606
4,0.0429015563945391,0.0337973088277824,0.0197924738100648,0.0020758545401783,0.0898205682670036,0.0737863119917001,0.0616531096117724,0.101356263307881,0.0427222002179753,2.5283055072062e-06,0.0384253030036039,0.0114505354312667,1.52333818987743e-05,1.08409170658483e-06,0.0381877594604731,0.0014878301699029,4.93296477484173e-05,9.48785820309833e-09,0.000211087486613152,0.00819255386530959,7.37713350093283e-05,0.0180345532347341,0.0181024559634569,0.0617426305856088,1.15462823339181e-05,0.00390897603439509,1.6185810119655e-05,0.000677885756284786,0.000129734719664504,2.45908895237356e-06,0.000176050783703495,0.000334514766098495,0.000153109874703578,0.000153109874703581,0.000155140931383354,0.000149049445843837,0.00015610210044456,0.000104295666596321,3.89415150158555e-05,0.000332540867447542,0.000234203526519692,0.000592263436079229
5,0.327357024431386,0.0384925538363817,0.134418595030093,0.00207266651530939,0.169651568203985,0.0857897730669356,0.178905271734083,0.505326448415932,0.135255767963171,1.2982754952946e-05,0.263763881186496,0.0531864549901766,6.78860424772424e-05,1.04481114444368e-05,0.103692122675431,0.0086718020291731,0.000435520888839124,6.55705011340168e-08,4.3929999973906e-05,0.0459264095582081,3.44082710410347e-06,0.0178064205061781,0.00458622353876372,0.0311736147191203,0.00172258071381325,0.0153127736130997,5.78357964075929e-05,0.00422168733036531,0.000568566171516664,7.17904751698855e-06,0.000532954037242964,0.00180191415758658,0.000948557848577632,0.000948557848577632,0.000396572370241117,0.000572161908854833,0.00146902166014151,0.000678873558673587,0.000253864743927791,0.00104083101348385,0.000801049457885696,0.000812502360381718
6,0.393069009223793,0.0701244055691498,0.0756713117637441,0.00206860828642976,0.498618568254491,0.077068038061534,0.510983862401,0.689672894001479,0.466067165159067,3.3190617601772e-05,0.3409587064291,0.137609989874933,0.000109339717122944,1.32875335637518e-05,0.426314909808742,0.00807557972591989,0.000764573125934525,6.93027156797069e-07,0.000333511597649519,0.031784107663594,7.9361883347405e-06,0.0452099063961534,0.00711250885073738,0.0683339546822291,0.00197953978529058,0.0578090655867131,6.32689364906923e-05,0.00765615907598812,0.00109937370130022,1.36630284408764e-05,0.00199404063874438,0.00178003511454391,0.00142659455873441,0.00142659455873441,0.000436784971409076,0.00161114577812301,0.00174028660024861,0.000405056497310565,0.000312650543475335,0.00285312446707847,0.00261889800291469,0.00537135774811565
7,0.539208933676283,0.108268420373515,0.135416270752074,0.00214136091435477,0.920256725888297,0.0712016235787464,0.925142188891464,0.813617748010229,0.332410721041864,8.38819223670271e-05,0.312270035198492,0.190408452972082,0.000911187680470043,2.27765242354587e-05,0.628050213012316,0.00393711073178133,0.00106193455109998,3.09629726492851e-06,0.00039840986151905,0.028162165595794,1.72930800985948e-05,0.106571879740415,0.00765605193238435,0.155851671722854,0.00153800947624955,0.0218563138262751,0.000826694157174636,0.0107610470173691,0.00136039821766598,1.0132483345421e-05,0.00189162891905232,0.00101305929685774,0.000967300717311774,0.000967300717311777,0.0010862794991098,0.00101712361457265,0.00254892831152254,0.00073626962864666,0.000435260311349136,0.00523680312597526,0.00173775681658566,0.00376620297615145
8,0.512333183356034,0.164731239477026,0.0909376401248879,0.105565658817616,0.176631749271029,0.172471271864256,0.251057710055553,0.691613659635365,0.202105483756632,8.58842302055028e-05,0.329356490881144,0.207472753576495,0.00147583082770528,6.42503580886181e-06,0.435376693555917,0.010968904326693,0.0015965057205445,7.2457806038502e-06,0.000745707204022789,0.0918139306902847,0.00388928719066542,0.0375321130544368,0.0439582658580093,0.0432644674795877,0.00273920529253214,0.0451069251355173,0.00100384620418889,0.00469039187445864,0.00154699520442479,1.36541809734099e-05,0.00328459361065765,0.002271961824386,0.00117567647663996,0.00117567647663996,0.122695474872226,0.000895711276405589,0.00182302449077135,0.000485867943892997,0.000298773403435965,0.00140492764359288,0.00111483205428684,0.00269122701107643
9,0.828289689557928,0.339390062575983,0.421993652052258,0.110369404608691,0.767169056517681,0.181961399284276,0.781481723507456,0.721043735969101,0.325274124161477,0.00515466866635486,0.502861129655921,0.314789269882301,0.00315618224215639,0.00567061751881093,0.61293465013891,0.0126711292885057,0.00186111569869887,1.67687849993344e-05,0.00149602434226935,0.114826606897105,0.00140694521779473,0.0738021276753685,0.0109757990516086,0.113857477001596,0.0011215901851488,0.0520302990037123,0.00234171355247128,0.00698230780080898,0.00256987801471231,0.00378161001112532,0.00322985907553953,0.00237434381826662,0.00170618124859008,0.00170618124859009,0.00477228807050633,0.00153512407243587,0.00348850812692186,0.0022811855314474,0.000402076785815165,0.004453439873353,0.00190892902641817,0.00528486247560976
10,0.710913514541982,0.416478259038133,0.768865984784665,0.118381069816982,0.464829177631653,0.188976246715992,0.453980257750989,24.9715231228984,0.355355626979775,0.00756856910525514,0.521132378551154,0.390645640388235,0.00103978553223756,0.00298236786721703,0.820186176700498,0.41791559090013,0.00322133331788869,0.000100581641119855,0.000868252057471462,0.0671399590490006,0.000713553143905073,0.0314367330966453,0.0165098567722298,0.0380572040262677,0.0866567801129693,0.0323012431460037,0.00252552665249481,0.00703404040316055,0.00183677316343458,0.00226073511392794,0.00254642756158172,0.00260264766339209,0.00230270422046444,0.00230270422046444,0.00236572433171991,0.0100996884417874,0.00332868193285539,0.00406823686442492,0.00057826759320997,0.00253191364843248,0.00202295458167479,0.130300245372933
