,-4,-3,-2,-1,0,1,2,3,4
GDP (output),-0.037358412290236,0.28583935775021,0.63072109597505,0.897536868186032,1,0.897536868186032,0.63072109597505,0.28583935775021,-0.037358412290236
 (s.e.),0.0325823928204463,0.0233148923559822,0.0120572344476683,0.00320600985721761,0,0.00320600985721761,0.0120572344476683,0.0233148923559822,0.0325823928204463
 (p-val.),0.565165654769848,6.7941178988483e-06,3.27726435127677e-12,6.07387186623986e-19,NA,6.07387186623986e-19,3.27726435127677e-12,6.7941178988483e-06,0.565165654769848
Consumption,0.0819571827682917,0.327522673214416,0.541592594464854,0.661392917155822,0.65118748190424,0.509601304578797,0.29393064796641,0.0709575020411664,-0.103176076264326
 (s.e.),0.0794245831100116,0.0700123554783413,0.0504460313412365,0.0288800732555749,0.0230130272812938,0.0341091198603485,0.0403091396499261,0.0392701186877421,0.0361135810099241
 (p-val.),0.00374016124935489,0.00377725047597592,4.27471743410647e-06,4.81635885599782e-09,7.5656231458783e-10,2.9700470939471e-07,0.000315087269188008,0.365407544480545,0.0421672033336487
Investment,-0.1865326163188,0.0281932332785223,0.285343191883491,0.521451723955044,0.670788021940844,0.688038923253942,0.569597509942009,0.353164822718125,0.104020538215168
 (s.e.),0.0355405067016608,0.0353493150818747,0.0277282236678243,0.0155142119814495,0.0106644280325038,0.0183221173876219,0.0233468144555741,0.0248399893520849,0.0272910808978076
 (p-val.),0.00662546960899802,0.459436067793057,2.74343937987897e-05,2.32525573645538e-10,5.75455640378283e-13,5.64822778423894e-11,3.43377384453158e-09,1.02483125344781e-06,0.125960674040674
Gov. Expenditure,NA,NA,NA,NA,NA,NA,NA,NA,NA
 (s.e.),NA,NA,NA,NA,NA,NA,NA,NA,NA
 (p-val.),1,1,1,1,1,1,1,1,1
Imports,0.642443388892024,0.586999906708068,0.375108738155866,0.0799087613165667,-0.197292176964747,-0.367438852571307,-0.400905162815977,-0.322396117023902,-0.188173376405886
 (s.e.),0.0326494090352228,0.0182906741068125,0.0171055753566399,0.0318196032540844,0.0441458689301998,0.048980271521618,0.0455355788958309,0.0373622593455645,0.0336898233027118
 (p-val.),1.90111681380268e-08,2.87709522884801e-10,2.09498652823174e-08,0.163949904131097,0.0173931744176164,0.000144893902649651,3.61609935964923e-05,7.1938580186378e-05,0.00719998380226454
Exports,NA,NA,NA,NA,NA,NA,NA,NA,NA
 (s.e.),NA,NA,NA,NA,NA,NA,NA,NA,NA
 (p-val.),1,1,1,1,1,1,1,1,1
Net Exports,NA,NA,NA,NA,NA,NA,NA,NA,NA
 (s.e.),NA,NA,NA,NA,NA,NA,NA,NA,NA
 (p-val.),1,1,1,1,1,1,1,1,1
Price,-0.018955029063226,0.17224430930003,0.31142797615759,0.368740937434482,0.345204123189445,0.267472753364567,0.172927456600652,0.0907501800712413,0.0350612154374126
 (s.e.),0.0268876014320364,0.030713884463461,0.0348269191014011,0.0363853605652441,0.0339091460690005,0.0286951789719931,0.025157481211081,0.0259316108343897,0.0279104749868952
 (p-val.),0.883211643331878,0.0111615345556148,6.07989949952685e-05,1.46147782571449e-05,1.67138781136334e-05,7.33521634751714e-05,0.00400173467609393,0.254268413610396,0.748295238999062
Profits,0.224884074773852,0.407168253518427,0.578170786444764,0.720694806709594,0.801296539950901,0.775426960043645,0.623453585050768,0.367071656354669,0.0710564090923493
 (s.e.),0.0262997836756832,0.0247777002698111,0.0179832610989362,0.00965703733066656,0.00964500558355247,0.0145986367851173,0.0181988313716118,0.0222372583054703,0.0275565878512749
 (p-val.),0.000275338601181335,2.08101836376755e-07,2.89996969155694e-10,1.12933464688907e-13,3.80459741551614e-14,2.19000973181934e-12,1.46840217481222e-10,2.59855659247854e-07,0.46684957713506
Wages,-0.227205174820301,0.1189162157038,0.505853138527162,0.797109185098359,0.888880092501756,0.754476897631983,0.470070160852595,0.148793889213254,-0.109151321337613
 (s.e.),0.0279222494732667,0.0199460546474124,0.0116610840089111,0.00654430448415308,0.00581164003614068,0.00853802316632098,0.0140309249911314,0.0225175399070508,0.0304029827065885
 (p-val.),0.000370539003135926,0.0653787293578184,2.52137203915154e-11,1.22720730040828e-15,1.41215984489996e-16,2.34062855079697e-14,2.91995489423668e-10,0.0118952887100648,0.0676293066155378
Profit Share,0.397869506270753,0.135714652218719,-0.177822341431866,-0.404092249862948,-0.451204813779464,-0.31927396623052,-0.105056571557979,0.0811220051615733,0.171297679226738
 (s.e.),0.0224415002230083,0.0184637965884716,0.0174945702237084,0.0223131155295592,0.0294259060952535,0.0336570423171888,0.0314228214975609,0.0266485903451319,0.0276776715933719
 (p-val.),1.14424566894565e-07,0.0142971452457593,0.000299881298721622,9.17193192519709e-08,3.00248713269919e-07,3.60592886475477e-05,0.123020745555037,0.486587127639269,0.00721476082469866
Wage Share,-0.397869506270754,-0.135714652218719,0.177822341431867,0.404092249862948,0.451204813779465,0.319273966230521,0.10505657155798,-0.0811220051615731,-0.171297679226738
 (s.e.),0.0224415002230081,0.0184637965884715,0.0174945702237084,0.0223131155295591,0.0294259060952534,0.0336570423171886,0.0314228214975607,0.0266485903451318,0.027677671593372
 (p-val.),1.14424566894556e-07,0.0142971452457594,0.000299881298721608,9.1719319251966e-08,3.00248713269903e-07,3.60592886475449e-05,0.12302074555504,0.486587127639281,0.00721476082469868
Markup,0.276474158840591,0.191650057228692,0.0593594616065339,-0.056441260915319,-0.10962606495147,-0.09355424902631,-0.0408720592644859,0.00624027847595601,0.0216762145003999
 (s.e.),0.0239071685275121,0.0221534445215599,0.0206592488229536,0.0235425626755943,0.0308213025169206,0.0357297397364493,0.0336024827967968,0.025327925893633,0.0203435187668332
 (p-val.),1.22588331720915e-05,0.000564497216180778,0.852546439306817,0.64712797699912,0.157133723138738,0.224699593847154,0.407148465850798,0.939299870579854,0.988956958334947
Profit Rate,-0.0647175348734167,0.0249735432239091,0.154955744338245,0.308781495450959,0.446822650086864,0.515809073194577,0.482724709625127,0.351389692305006,0.164576514019854
 (s.e.),0.0309584226849074,0.0372073074764359,0.0396477636831355,0.040507030128836,0.0450395749560048,0.0517906943457036,0.0534832818008495,0.0466544118331985,0.0346188590120745
 (p-val.),0.461977119161454,0.355505237981971,0.0359310960034151,0.000200464792761319,1.13526491289382e-05,8.50548899346245e-06,2.08053984417569e-05,0.000156202629804439,0.00517175189746283
Productivity,0.181830311403268,-0.028539360628309,-0.255820032978814,-0.425861092667625,-0.486427184495406,-0.430861352325952,-0.302483123566733,-0.163189013166893,-0.0631719750561806
 (s.e.),0.0149561397299392,0.0150888901912552,0.0192852985991876,0.023853412647605,0.0259575356264113,0.0255471024322963,0.025065568230802,0.0263470990417505,0.0291122288039451
 (p-val.),7.07479405461485e-05,0.998881349022116,5.52446626620299e-06,9.18961708974223e-08,4.58302683386616e-08,1.46352276775645e-07,6.35568028788184e-06,0.00928385268877976,0.276628771515927
