t,Real_GDP,C_r,I_r,G_r,M_r,X_r,NX_r,K_r,INVE_r,P,PROFITS,WAGE,PROD,MK,EMP,KL,GDP_G,P_G,CON_G,INV_G,GOV_G,M_G,X_G,NX_G,K_G,INVE_G,PROD_G,PROFITS_G,WAGE_G,MK_G,EMP_G,U,Profit_Share,Wage_Share,PCU,PR,CGDP,IGDP,GGDP,NXGDP,INVGDP,KGDP
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83087959822482e-16,0,0,0,0,0,1.61573446513181e-16,0,1.79781490468848e-16,0,0,2.97699704477071e-16,0,0,0,0,0,0,0,0,0,0,0,0
3,0.0064394900297057,0.000664062084530911,4.12158001196005e-06,0,0.000194151447302947,0,0.000194151447302947,0.00259393609446917,0.0155252879448325,2.55983985195751e-05,0.0107365368374076,0.00429725499233204,0,1.02394678469572e-05,0.0155348919675094,0.000766037335984373,1.58380108070368e-05,3.27886701992521e-16,6.53302282576848e-06,0,0,0.000353709108815923,0,0.000353709108815923,6.82615245844402e-06,0.000929685727851572,3.82628951492212e-16,0.00019515635966069,9.16795490353598e-05,6.82625982324867e-06,9.16999028680761e-05,8.17626093494819e-05,7.04746628601506e-05,7.04746628601466e-05,8.41702872177677e-05,2.87914820685663e-05,5.91455986158441e-05,3.9042079325651e-07,0,1.94742306061922e-06,0.000160719311623737,0.000245713750078232
4,0.703472456490695,0.0205338419846622,0.000216570607036675,0,1.36985085211888,0,1.36985085211888,0.52746646503999,1.03154393063685,4.13595723839157e-05,0.768034564713701,0.0646659960889499,0,7.22138104363268e-06,0.265238271174819,0.00146144150199437,0.00173934731423094,6.89787376682698e-06,0.000198821761245161,0.000351601490756135,0,2.75052253319649,0,2.75052253319649,0.00138804869271693,0.0642566051786521,3.91649869723792e-16,0.0136682999208729,0.00132478291413359,5.69163288003329e-06,0.00150807521534708,0.000158291802990744,0.00374649879860423,0.00374649879860421,0.0142013731884832,0.00222217508389721,0.00666919136765353,7.92386729068672e-05,0,0.0133544532969511,0.010987546377368,0.0301326982338366
5,1.48868567920834,2.01178448078309,0.0484034869700404,0,2.64471251144523,0,2.64471251144523,0.967910532700543,2.15318211968968,6.97075073460719e-05,1.4971383184017,0.325886852553913,0,1.30853626795738e-05,1.20022119138695,0.0594163597651598,0.00454789208421307,1.05223567121702e-05,0.0197969900465189,0.0399041989673828,0,8.33229686339414,0,8.33229686339414,0.0026190132695339,0.114446676827423,2.01342209711162e-16,0.0285047707974424,0.00819786852150072,6.23376018752269e-06,0.00849426901634541,0.00651938820912403,0.00718338390711964,0.00718338390711963,0.0148516024018207,0.00425843594169793,0.0118559385279946,0.000609705267869643,0,0.0262606736898371,0.0232525660578095,0.0622030596126022
6,1.70751562709982,2.84838842299747,0.07057426041044,0,3.22075219716152,0,3.22075219716152,5.3891744235058,2.85510768719935,0.000111937556716221,1.64021678339881,1.24925157607441,0,2.81084375519024e-05,4.59235340014989,0.320580509792867,0.00824072553846042,1.8174357108866e-05,0.0174294860815168,0.0184667444511131,0,0.688648963015398,0,0.688648963015398,0.0118909301450269,0.163597191026329,2.08033136237122e-16,0.0401353539505676,0.0284094999195565,1.11929105087093e-05,0.0291644897619621,0.0263638990666512,0.0112093817867034,0.0112093817867034,0.0266613673728014,0.00497899280991039,0.0232525688307905,0.000956501075545953,0,0.0312727490853039,0.029105995461288,0.100214599753453
7,2.4347493809417,3.16937078958935,0.140406621523348,0,2.81176714261691,0,2.81176714261691,5.00015211133858,4.34272309337951,0.000188555400354155,2.38492917654152,1.02474887722159,0,5.4138617203237e-05,3.76622656264233,0.246612858625696,0.0132202331987058,3.45139264274128e-05,0.0195936732696939,0.0650586508534879,0,12.0640912980422,0,12.0640912980422,0.0173136839230826,0.198806740365213,1.96174310591304e-16,0.0477806759223495,0.024643468768593,2.39493678222258e-05,0.0254472542461623,0.0213216211569179,0.0124197497806589,0.0124197497806589,0.0267996298519078,0.00705515192187224,0.0235470423075999,0.00167291631976046,0,0.0286653999326731,0.0439882705160714,0.12201305703575
8,1.66569238094678,2.62841497012611,0.177972637229516,0,3.03887668127658,0,3.03887668127658,3.34604652910905,3.56632921773844,0.000286836036023421,1.91637125470154,1.53224426728294,2.61865787507317e-06,4.7800717413137e-05,5.64180952458684,0.312537147109294,0.0149969215403959,4.33724185516386e-05,0.0167338854961154,0.0453091812980075,0,0.867055403253522,0,0.867055403253522,0.0139500651300575,0.317575276809718,2.61853044602645e-06,0.0508174460953209,0.0299320839990181,2.72986519013651e-05,0.0308820943025022,0.0308061036683967,0.0144293535945974,0.0144293535945974,0.0330610396899894,0.00461653151753656,0.0211748788967829,0.00175021455620242,0,0.0299839879138833,0.035507454108675,0.0685892142389505
9,2.18938058328861,2.6570309050608,0.237744609913856,0,2.74073885826228,0,2.74073885826228,3.3886264911431,2.58520534661639,0.000675861893219923,1.89896435005134,1.25866225446571,1.02026422509353e-05,0.000265488981304494,4.62840573104442,0.254220664781398,0.0138357057948361,6.5536713254151e-05,0.0103082393890793,0.0507609946713396,0,0.550092237651739,0,0.550092237651739,0.0129457966586728,0.278880921268828,1.0962051278894e-05,0.0593318113432035,0.0291401546375011,0.000190304820615001,0.0301793643062322,0.0259976759659773,0.0110483096810221,0.0110483096810221,0.0329766255059823,0.00480977109282323,0.0194279912008862,0.00193530506492973,0,0.0266133887120897,0.0262264627835668,0.0899301748158415
10,1.59855786915783,2.1165379444829,0.270663582032448,0,3.18903806678577,0,3.18903806678577,1.47766133639154,2.21911653745731,0.00165457527905364,1.22970091345143,1.38840576906675,2.1906718915791e-05,0.000614339834019702,5.11903687208244,0.277478875618852,0.0114329885215147,0.000268884239182795,0.0191391536245442,0.0459293684002443,0,0.397071499026735,0,0.397071499026735,0.00878103547148095,0.228634618802864,2.35108861610341e-05,0.0455338726438803,0.0209753504366633,0.000239264069038029,0.0216543750636805,0.0271882414074749,0.0101177312058914,0.0101177312058914,0.0277733066437525,0.00304181439647705,0.0148695320289487,0.00251034968822191,0,0.0307988552691857,0.0224545874082409,0.071674611601483
