t,Real_GDP,C_r,I_r,G_r,M_r,X_r,NX_r,K_r,INVE_r,P,PROFITS,WAGE,PROD,MK,EMP,KL,GDP_G,P_G,CON_G,INV_G,GOV_G,M_G,X_G,NX_G,K_G,INVE_G,PROD_G,PROFITS_G,WAGE_G,MK_G,EMP_G,U,Profit_Share,Wage_Share,PCU,PR,CGDP,IGDP,GGDP,NXGDP,INVGDP,KGDP
1,101.6461022,101.6461022,0,0,1.504664573e-14,0,-1.504664573e-14,380,16.94101703,3.75,54.77595505,46.8701471,1,1.5,169.4101703,8.4115375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108367525,0.5388888889,0.4611111111,0.36,0.1441472501,1,0,0,-1.480297366e-16,0.1666666667,3.738461111
2,101.8876188,101.6461022,0,0,0.5489015005,0,-0.5489015005,380,16.69950037,3.75,55.01505654,46.87256227,1,1.5,169.4101703,8.4115375,0.0005940135802,-3.330669074e-16,-2.796143564e-16,0,0,36479990980000,0,36479990980000,-2.991758887e-16,-0.01425632593,-5.551115123e-16,0.004365081237,5.152888889e-05,-2.960594732e-16,-3.355372276e-16,0.108367525,0.5399582126,0.4600417874,0.9416941162,0.1447764646,0.9976295779,0,0,-0.005387322885,0.1639011743,3.72959938
3,102.7810162,101.6888187,0.6037810612,0,0.4978236768,0,-0.4983972505,379.9933355,15.88860228,3.75,55.73609364,47.03418961,1,1.5,169.9755931,8.381664565,0.003385350328,-9.992007222e-16,0.000420247851,0,0,-0.09305462583,0,-0.09305462583,-1.753813152e-05,-0.04855822461,-3.330669074e-16,0.01310617745,0.003448229179,2.960594732e-16,0.003337597036,0.1051896742,0.5422800408,0.4575435049,0.9384411592,0.1466739306,0.9892336872,0.005873516802,0,-0.004849111963,0.1545632379,3.696534032
4,102.6695388,101.9027834,1.211764001,0,0.3130510941,0,-2.931926666,379.9885042,14.58434872,3.75,55.16192577,47.37791152,1,1.5,171.1975537,8.319616308,0.0059045375,-7.771561172e-16,0.002100343539,1.006951649,0,-0.3712129648,0,-0.3712129648,-1.271416833e-05,-0.08214012121,-7.771561172e-16,-0.01032728372,0.007267789095,-1.233479864e-05,0.007161304914,0.09851611876,0.5372764544,0.4552862542,0.9396175815,0.1447851365,0.9792969474,0.01164509479,0,-0.02854228964,0.1401672132,3.65162088
5,100.3913068,98.26057535,1.977548181,0,0,0,-8.392623195,379.9922118,13.15753805,3.75,52.72476365,47.49546238,1,1.5,171.6472313,8.205279004,0.002818351012,-7.771561172e-16,-0.0357419882,0.6310951154,0,-1,0,-1,-1.834872726e-05,-0.1009353696,-4.440892099e-16,-0.04849003366,-0.0002673957738,-2.427467204e-06,-0.0004890427428,0.0859532576,0.5251925222,0.4547863619,0.933323945,0.137666629,0.9504372835,0.01872907965,0,-0.08359910294,0.1246131853,3.598852593
6,101.9514108,95.7648819,2.382532009,0,0.09289392142,0,-11.10938562,379.9812931,10.00447837,3.750016312,53.34835277,45.41784694,1,1.500001955,164.0212378,8.158475317,0.003650738485,-4.440892099e-16,-0.03374054878,0.1865073659,0,-0.3181844305,0,-0.3181844305,-2.873392928e-05,-0.2928260067,-3.330669074e-16,-0.05001765729,-0.04717556813,-1.128937079e-06,-0.04862681241,0.08070984944,0.5232723346,0.4388504684,0.8975076229,0.1393013626,0.9190675209,0.02206967859,0,-0.1089335421,0.09267267814,3.519812105
7,101.6958038,94.57641534,2.824704563,0,3.349959184,0,-11.10388713,388.9731253,6.369419731,3.750017162,54.97237194,46.03218085,1,1.500001401,166.2160461,8.264298247,-0.001805469832,2.703842173e-06,-0.02364778974,0.1299204594,0,-0.3648887334,0,-0.3648887334,-0.002535295211,-0.4509521432,-5.551115123e-16,-0.03642790524,-0.04498366032,-3.691780109e-07,-0.04630718884,0.07342406015,0.5405569342,0.4328528451,0.8922242723,0.139879538,0.9175731033,0.02675019707,0,-0.1090919871,0.060200983,3.594292152
8,100.9986084,96.91780079,2.138573858,0,2.169747929,0,-13.08477572,398.9100094,7.673794627,3.750020083,51.95987031,45.43015224,1,1.500000401,164.0162404,8.277796284,-0.004356197646,4.3998354e-06,-0.02820866576,-0.2682905415,0,-0.3750773727,0,-0.3750773727,-0.007425731211,-0.4114384312,-3.330669074e-16,-0.1280961045,-0.02767946597,-3.723510314e-05,-0.02877365467,0.07546555893,0.51446125,0.4375992066,0.865148132,0.1295788363,0.9334656724,0.02059949565,0,-0.1295540199,0.07252263014,3.763732084
9,100.8854453,95.61633328,1.868979705,0,1.46763089,0,-13.90501001,404.9176298,9.791882239,3.750019429,52.82190637,46.22491822,1,1.500004637,166.9836462,8.531571755,-0.006444525759,4.440363743e-06,-0.02514350399,-0.1492359205,0,-0.3765997368,0,-0.3765997368,-0.009637783242,-0.1594109131,-2.544301703e-07,-0.06359173153,-0.0294837888,1.004069125e-06,-0.03039883561,0.1076586539,0.5235830223,0.4488345884,0.857932187,0.1285209071,0.9317496886,0.01815489093,0,-0.1318915347,0.09314997987,3.851973313
10,102.4511992,95.74340473,1.57661772,0,1.015141731,0,-10.52556032,411.6333127,11.90711847,3.750013202,52.87610136,46.47395616,1.000003391,1.500007314,167.9076105,8.512846246,-0.005794883446,2.55842849e-06,-0.02736966448,-0.2423224301,0,-0.4319769377,0,-0.4319769377,-0.01244926444,-0.1712565779,9.871874394e-08,-0.05057316412,-0.03307252929,-4.766174018e-05,-0.03416484003,0.1058997765,0.513739849,0.4506704876,0.8551905535,0.1280990376,0.9314950946,0.01513709169,0,-0.1024040019,0.1113842596,3.881644338
