t,Real_GDP,C_r,I_r,G_r,M_r,X_r,NX_r,K_r,INVE_r,P,PROFITS,WAGE,PROD,MK,EMP,KL,GDP_G,P_G,CON_G,INV_G,GOV_G,M_G,X_G,NX_G,K_G,INVE_G,PROD_G,PROFITS_G,WAGE_G,MK_G,EMP_G,U,Profit_Share,Wage_Share,PCU,PR,CGDP,IGDP,GGDP,NXGDP,INVGDP,KGDP
1,101.6461022,101.6461022,0,0,1.504664573e-14,0,-1.504664573e-14,380,16.94101703,3.75,54.77595505,46.8701471,1,1.5,169.4101703,8.4115375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108367525,0.5388888889,0.4611111111,0.36,0.1441472501,1,0,0,-1.480297366e-16,0.1666666667,3.738461111
2,101.8876188,101.6461022,0,0,0.5489015005,0,-0.5489015005,380,16.69950037,3.75,55.01505654,46.87256227,1,1.5,169.4101703,8.4115375,0.0005940135802,-3.330669074e-16,6.00000110356576e-26,0,0,36479990980000,0,36479990980000,-1.495879443e-17,-0.01425632593,-3.885780586e-16,0.004365081237,5.152888889e-05,1.0362081564e-16,-3.355372276e-16,0.108367525,0.5399582126,0.4600417874,0.9416941162,0.1447764646,0.9976295779,0,0,-0.005387322885,0.1639011743,3.72959938
3,102.79398709,101.69001808,0.60378455632,0,0.49816182679,0,-0.49816182679,379.99553518,15.896498336,3.7500440617,55.757680397,47.036306689,1,1.5000176246,169.98364788,8.3831596265,0.0034172525129,-5.3290705184e-16,0.00043204726413,0,0,-0.092438577194,0,-0.092438577194,-1.17495482772047e-05,-0.048085392533,2.4424906541e-16,0.013498556594,0.0034933959106,1.17498206677888e-05,0.0033851428172,0.1053492217,0.54242159437,0.45757840563,0.93848498346,0.14673246226,0.98926039014,0.0058737342959,0,-0.0048462155544,0.15464428863,3.6966709134
4,103.41279937,101.90584938,1.212129179,0,1.61242992256,0,-1.61242992256,380.49064111,15.711617849,3.750092295,55.98173571,47.431063661,1,1.5000183567,171.41993888,8.3238595083,0.0077624688504,9.80561360890008e-06,0.0021224433573,1.0075524696,0,2.23716914726,0,2.23716914726,0.001302917206019,-0.011641386502,-1.6653345374e-16,0.0040174840918,0.0083925746621,4.8809420585e-07,0.0084495580459,0.09897555523,0.54131965236,0.45868034764,0.95155247291,0.147133171,0.98546833414,0.011721745282,0,-0.015673056232,0.15199858328,3.6795204534
5,103.63375425,100.703422915,2.0189306354,0,3.1881217759,0,-3.1881217759,383.37715146,16.250879915,3.7502356286,55.788643821,47.845110412,1,1.5000626567,172.94810862,8.3137990195,0.0126511267464,2.17029116333456e-05,-0.0117991504359,0.66561237195,0,3.09751175367,0,3.09751175367,0.007578251967373,0.030462492858,3.330669073e-17,-0.003431218693,0.00873838887375,2.95328431188e-05,0.00892499398256,0.092603897121,0.53821378864,0.46178621136,0.95676331127,0.1455575878,0.97173342689,0.019492715772,0,-0.031200112163,0.15724390709,3.7005965304
6,104.14895926,99.286953256,2.5017411614,0,5.50807062094,0,-5.50807062094,384.86004232,14.9389754667,3.7504478473,56.860823782,47.28813548,1,1.5001172079,170.88103916,8.4545287722,0.01760845174538,6.34408488038e-05,-0.0141093334992,0.2392007717,0,245774487360001,0,245774487360001,0.003939829013108,-0.083710555366,8.881784198e-17,0.0197439619074,-0.011573171976,3.63657588073e-05,-0.0118730500565,0.106892791065,0.5458446462,0.4541553538,0.9347978897,0.14776511441,0.95328718539,0.024040829381,0,-0.0535215559576,0.144245622823,3.697578286
7,104.62861896,99.336262116,2.927913552,0,7.0571701074,0,-7.0571701074,391.74105151,12.5079359549,3.7506624632,57.586135559,47.042483413,1,1.5001698895,169.96548225,8.6531921318,0.01924226092,0.0001357544291969,0.0005591190602,0.17088008188,0,2.81406924926,0,2.81406924926,0.0179989060798684,-0.146446873433,-1.6653345368e-16,0.01454323331407,-0.0049473405628,3.511690040584e-05,-0.0050882257668,0.11420205193,0.55032309229,0.44967690771,0.91971275048,0.1470211187,0.94926853686,0.028003419241,0,-0.068014821559,0.120024083424,3.7462137743
8,104.3100307,100.213914643,2.4142998335,0,6.9641176225,0,-6.9641176225,402.01687786,12.1612285282,3.7509680983,56.514895815,47.795134888,1.0000049338,1.5001452384,172.74331793,8.7377439562,0.017022756553635,0.000188558907251,0.0091811886567,-0.174487825609,0,0.20323038647,0,0.20323038647,0.026227059012,0.006503401376,4.93384276646661e-06,-0.0169600975178,0.0164980787306,-1.64314757951e-05,0.0168731774748,0.120565465706,0.54173561407,0.45826438593,0.91834698384,0.1405812318,0.96068609466,0.023137326951,0,-0.066902147827,0.116931976166,3.8553769134
9,104.46903004,100.2808704,2.1864451651,0,6.3338733051,0,-6.3338733051,408.91914748,13.2006105274,3.7519849625,55.926152991,48.542877064,1.0000340106,1.5004712573,175.54754762,8.7441567619,0.0141089982356,0.000250759855726,0.0007423366623,-0.095911103737,0,-0.102532993631,0,-0.102532993631,0.0172737214608,0.106990031165,2.9076809384314e-05,-0.0091646132513,0.016179391299,0.0002173238133716,0.016801608975,0.126313977191,0.53532438148,0.46467561852,0.91496840592,0.13677351736,0.95981934993,0.02092151702,0,-0.060782194126,0.126645874317,3.9156157425
10,104.59100066,100.399323484,1.9228932972,0,6.0012312649,0,-6.0012312649,415.39036018,14.234374746,3.7533311427,56.019089727,48.571910924,1.0000788844,1.500717773,175.71279313,8.881634704,0.00968612294614,0.000432180849226,0.0015385485609,-0.1238944766417,0,0.036424701423,0,0.036424701423,0.01588554891,0.1132378661919,4.487247986085e-05,0.0024932006437,0.0005790511143,0.00016425075834485,0.0009206040395,0.139395221692,0.53563207241,0.46436792759,0.90033755599,0.1348610529,0.95992217406,0.018370758516,0,-0.057296914215,0.13611448128,3.9721109161
