t,Real_GDP,C_r,I_r,G_r,M_r,X_r,NX_r,K_r,INVE_r,P,PROFITS,WAGE,PROD,MK,EMP,KL,GDP_G,P_G,CON_G,INV_G,GOV_G,M_G,X_G,NX_G,K_G,INVE_G,PROD_G,PROFITS_G,WAGE_G,MK_G,EMP_G,U,Profit_Share,Wage_Share,PCU,PR,CGDP,IGDP,GGDP,NXGDP,INVGDP,KGDP
1,101.6461022,101.6461022,0,0,1.504664573e-14,0,-1.504664573e-14,380,16.94101703,3.75,54.77595505,46.8701471,1,1.5,169.4101703,8.4115375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108367525,0.5388888889,0.4611111111,0.36,0.1441472501,1,0,0,-1.480297366e-16,0.1666666667,3.738461111
2,101.8876188,101.6461022,0,0,0.5489015005,0,-0.5489015005,380,16.69950037,3.75,55.01505654,46.87256227,1,1.5,169.4101703,8.4115375,0.0005940135802,-3.330669074e-16,2.796143564e-16,0,0,36479990980000,0,36479990980000,1.495879444e-16,-0.01425632593,-2.220446049e-16,0.004365081237,5.152888889e-05,4.440892099e-16,-3.355372276e-16,0.108367525,0.5399582126,0.4600417874,0.9416941162,0.1447764646,0.9976295779,0,0,-0.005387322885,0.1639011743,3.72959938
3,102.8156863,101.6910109,0.6037916506,0,0.4988525565,0,-0.497461512,380,15.92703658,3.750132768,55.7936472,47.04492208,1,1.500053107,170.0139619,8.385655281,0.003470622127,-3.330669074e-16,0.0004418145082,0,0,-0.09118019161,0,-0.09118019161,-1.495879444e-16,-0.04625670018,7.771561172e-16,0.01415231957,0.00367720043,3.540491893e-05,0.003564081481,0.1056155126,0.5426569543,0.4577201511,0.9386496171,0.1468305857,0.9893875657,0.005874546994,0,-0.004838449815,0.1549596691,3.69718239
4,104.1040196,101.9108821,1.212896468,0,2.930287572,0,-0.3117435193,380.9988969,17.09183518,3.750243067,56.73505094,47.50887966,1,1.50005168,171.7315091,8.32749844,0.009515904109,4.258798161e-05,0.00216215034,1.00879967,0,4.890480974,0,4.890480974,0.002630494881,0.07314225348,5.551115123e-16,0.01758990455,0.009891128243,1.207425763e-05,0.01013213529,0.09936938999,0.5450166688,0.4626926439,0.9696925541,0.1493124431,0.9924549458,0.01180502582,0,-0.002995919268,0.1663831671,3.710595583
5,105.6883126,102.3759975,2.130568604,0,8.401082946,0,0,392.9952,20.82302089,3.75054146,57.69892126,48.30375203,1,1.500129196,174.6889822,8.563544391,0.01945777676,6.092006386e-05,0.004583079405,0.7588393698,0,20.26283875,0,20.26283875,0.03149092657,0.2362090807,3.330669074e-16,0.01975902387,0.01973717909,7.303871921e-05,0.02059250023,0.09985314574,0.5460870884,0.4752288563,0.9762707961,0.1518564359,0.9879371145,0.02118417769,0,0,0.2070426523,3.859463429
6,107.9276585,103.1624886,2.63953894,0,9.440201738,0,-0.2083957514,394.9934628,19.50501523,3.750934661,59.50327891,48.51507926,1,1.500208476,175.3445021,8.95893932,0.03369930694,0.0001430798175,0.01207157196,0.3087768961,0,1.985124448e+15,0,1.985124448e+15,0.0340884307,0.2178512272,3.330669074e-16,0.07875778969,0.0184325808,8.280194052e-05,0.01934956284,0.1414332009,0.5599691169,0.4749594013,0.9786847208,0.1562486185,0.969795544,0.02602705756,0,-0.001930883652,0.1916706358,3.835014473
7,108.1547873,104.3281824,3.045110166,0,14.20621679,0,-3.580497711,394.9929466,15.48318817,3.751524022,60.91395044,49.24099745,1,1.50037764,178.1227717,9.041403959,0.0434085484,0.0002510959284,0.01929571948,0.1963218502,0,18.05972146,0,18.05972146,0.02611904103,0.2227296837,1.110223025e-16,0.1087517128,0.03923482016,0.0001303485785,0.04048837146,0.1532375613,0.5696652723,0.4712775326,0.9815130819,0.1558183692,0.9661268232,0.02965698936,0,-0.03348469749,0.1507941328,3.875635356
8,107.4629819,105.3428132,2.830356336,0,13.09705969,0,-2.795253705,413.978902,17.93157441,3.752115384,58.95097904,50.08791541,1.000021091,1.500366731,181.2609348,9.24794494,0.04534384794,0.0003972549917,0.02551889085,-0.05444060797,0,2.542109848,0,2.542109848,0.05342698252,0.7149466105,2.109133036e-05,0.06763748751,0.05667591141,6.85770879e-05,0.05824294448,0.1582802403,0.5572981303,0.4826865258,0.9879954497,0.1470608447,0.9802707062,0.02658823392,0,-0.02635025284,0.1767652581,3.96238494
9,108.8670178,106.0493574,2.582001323,0,12.64177531,0,-2.009711806,417.62703,16.15561796,3.753523344,58.12280703,50.7442108,1.000064163,1.501145325,183.540114,9.107667632,0.04281838224,0.0005540420947,0.02013957873,-0.01796484826,0,0.3279781031,0,0.3279781031,0.04710708679,0.2661063615,6.416338901e-05,0.06014863467,0.04679051562,0.0006428437026,0.04869645038,0.1641936512,0.5467346001,0.4745248869,0.9822015709,0.143612591,0.9741183278,0.02492983,0,-0.01915543014,0.1571095308,3.996625562
10,106.778254,102.7488787,2.472262198,0,13.19493307,0,-1.327548597,427.7116133,15.58268652,3.756346693,58.15882998,51.42205251,1.000182068,1.50197683,186.1772561,9.417202234,0.02927560069,0.0007877700329,0.0173432095,0.006678119903,0,1.518652081,0,1.518652081,0.04352859064,0.5285406949,0.0001599515173,0.06773833646,0.01828248694,0.0007617065178,0.01998947764,0.1751879389,0.550004671,0.4816644042,0.9538899366,0.140532087,0.9739384547,0.02315323679,0,-0.01258359843,0.1496571512,4.085495893
