,-4,-3,-2,-1,0,1,2,3,4
GDP (output),0.420778604760406,0.618498117810325,0.808330501017772,0.946935757838727,1,0.946935757838727,0.808330501017772,0.618498117810325,0.420778604760406
 (s.e.),0.0340358698319469,0.023011622924403,0.0116575504514063,0.00317115480689015,9.51619735392991e-18,0.00317115480689015,0.0116575504514063,0.023011622924403,0.0340358698319469
 (p-val.),1.11914811920568e-14,2.86086891803301e-28,1.84048934268912e-48,8.77826269889196e-80,NA,8.77826269889196e-80,1.84048934268912e-48,2.86086891803301e-28,1.11914811920568e-14
Consumption,0.889587013319924,0.976617975238097,0.974954672491918,0.884610618328622,0.726948624711918,0.534053694866814,0.351722527148048,0.210855679281199,0.126636396084382
 (s.e.),0.0065474326186129,0.00130722049232398,0.00122745289701178,0.00693209200420986,0.0169909631249087,0.0282080617790959,0.0375859758416656,0.0427546831267525,0.0426552096082999
 (p-val.),6.51704656494147e-63,2.33358123528885e-99,1.16989682487503e-100,1.43484421448372e-61,4.07115141190779e-38,3.39579543372539e-21,4.31934878967129e-14,5.92508883023557e-12,3.53555943156954e-10
Investment,-0.370477201647716,-0.218312624938778,0.0207204797674543,0.297114910676678,0.547551414128275,0.710087822446116,0.754788713299592,0.684138218032949,0.53104800546783
 (s.e.),0.0279837558153517,0.0246450834269772,0.0163516456141868,0.00592745428103809,0.00529561790661178,0.0104939161311074,0.0101504472666797,0.00574266727450015,0.0112411582075502
 (p-val.),2.87731120563375e-14,1.23079403424963e-08,0.216650709079673,7.91067942291735e-37,1.25110574560133e-55,1.36279104622082e-47,9.48402468834911e-50,2.03370419346015e-59,4.33394445749183e-39
Gov. Expenditure,0.767753627319033,0.892360205767722,0.930308232696216,0.875070651228424,0.741606265784724,0.558360130751115,0.375627392980911,0.230977658139129,0.145344703900471
 (s.e.),0.0098214455865142,0.00387512090034645,0.0032047650691107,0.00776896206398424,0.0167971338836275,0.0276770205714417,0.0374397735109012,0.0433817229040403,0.0440538036998597
 (p-val.),7.54795190835282e-51,3.99259242296386e-74,3.82964373410266e-79,6.72164362472966e-59,8.05779897106055e-39,1.69752631783645e-22,1.09157481620217e-13,3.42602352056442e-11,2.56245709177828e-10
Imports,-0.0706607388080459,-0.0475132141120383,0.00514706048357086,0.082500991784002,0.170651717499923,0.246397846011646,0.291481552086509,0.296251761927005,0.263198695028134
 (s.e.),0.0139514618502057,0.0143125913804933,0.0141181831582632,0.0131144537710352,0.0117813201508326,0.0116113050389165,0.0132776300199385,0.0157991284657506,0.0180117049505003
