t,Real_GDP,C_r,I_r,G_r,M_r,X_r,NX_r,K_r,INVE_r,P,PROFITS,WAGE,DEBT,PDEBT,PROD,MK,EMP,GDP_G,P_G,CON_G,INV_G,GOV_G,M_G,X_G,NX_G,K_G,INVE_G,PROFITS_G,WAGE_G,DEBT_G,PDEBT_G,PROD_G,MK_G,U,Profit_Share,Wage_Share
1,192.7755083,161.9412188,1.647465614,27.53935833,1.317972491,4.942396842,3.624424351,320,13.76967917,3.75,61.77996053,103.4561895,59.13935576,1.421085472e-14,1,1.5,275.3935833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1393950521,0.3738888889,0.6261111111
2,184.985241802,161.9412188,1.482719053,27.53935833,3.5514880294,3.94733631408,0.395848284414,310,12.5917264724,3.75,62.4723565184,95.0149411392,98.9386622586,0.155303162828,1.12324391972,1.5,243.752879374,-0.010102770035,-3.330669074e-16,1.50935446196e-16,-0.1,1.70286540404e-16,1.6946602097,-0.20133157251,-0.89078312966,-0.03125,-0.085546851114,0.0112074528148,-0.081592492204,0.672974975504,10928488536600,0.123243919592,3.2270482582e-16,0.129282750116,0.396681874972,0.603318125028
3,187.724452656,160.04556268,2.42373503958,28.1552616364,5.7666623428,4.07563932428,-1.69102301846,305.686978164,11.4374848368,3.66796782362,66.21325206,94.1493555454,120.116957804,3.06552966228,1.16841759752,1.53333228008,233.031599956,-0.016653207532,-3.19744231102e-16,-0.0117058281492,0.634655624934,0.0223644754588,0.62373505218,0.0325036940494,-5.27321090324,-0.0139129736708,-0.0916666478564,0.0598808112866,-0.00910999402294,0.21405479961,18.7431188444,0.0402171578246,0.0222215200862,0.098028036116,0.41289707294,0.58710292706
4,188.782229928,158.635685346,3.0666877913,26.961256128,10.3209423362,3.99808409582,-6.32285824062,293.478066628,8.65260491556,3.66941688362,62.2981074232,99.5189173392,138.515748014,3.05103898834,1.18717465484,1.4994795059,224.729444008,-0.0218318716092,-0.0222734493336,-0.00880922482922,0.265273530798,-0.0424078995762,0.789800701926,-0.019028957243,2.73971949356,-0.0399392594694,-0.243484921992,-0.0591291965194,0.057032381536,0.153173958322,-0.004707920367292,0.016053384754,-0.0220779113816,0.0804636364842,0.384991035896,0.615008964104
5,186.863850374,157.823678076,4.84162340794,27.0372278022,12.8442468582,4.16046496126,-8.68378189664,283.405521584,8.73793227426,3.65910622092,60.5683702956,99.5387633704,152.67538704,4.07745913946,1.19272893962,1.50433353744,224.17798026,-0.02949837708,-0.0217058053802,-0.0051186923729,0.578779363652,0.00281780909232,0.244550104094,0.0406147029326,0.373593456954,-0.034321287303,0.00985555248448,-0.0277653965012,0.000199440586701,0.1022239478758,0.336431515262,0.00467857432936,0.00323714425496,0.048424903996,0.378297824382,0.621702175618
6,185.18756535,156.721973402,4.32229079746,27.1303113438,13.5417242756,3.96575856872,-9.57596570688,273.886931468,9.1208631405,3.6465519021,59.7770026192,98.9556646614,164.471556196,6.54038757016,1.19220028056,1.5001397967,221.277985736,-0.0193284959944,-0.024331644649,-0.00698060718116,-0.1072738919116,0.00344279183528,0.05448553079132,-0.0467977770244,0.10312500133642,-0.0335883933584,0.04426760694704,-0.01304343302952,-0.00585799908738,0.0773039270286,0.604035184574,-0.000443237062588,-0.00278777316832,0.0266097676612,0.3765856669,0.6234143331
7,183.467464716,157.228162086,1.823280291978,27.2187809592,17.817494358,3.55390016126,-14.2635941968,281.16853959,7.31163838192,3.6346994609,60.0717413204,97.410786795,160.57219757,11.02503781712,1.19564316236,1.50039320936,215.256555188,-0.0184100326844,-0.0275226238268,0.0032298490106,-0.583740131894,0.0032609139432,0.3209387031357,-0.1037554601904,0.501185684355,0.0265864627104,-0.197598711076,0.0050107647924272,-0.0156116583612,-0.0237041462,0.686101325808,0.0028878160738,0.000168878774964,0.0224769770426,0.38144623244,0.61855376756
8,185.580927154,157.02307723,3.8386785461,25.684913121,10.72767707342,3.9535677867,-6.77410928704,289.12798337,6.68231886056,3.63597427498,59.8306307682,99.24979122,164.2433654,8.0595697275,1.19436483362,1.49943417988,222.456602138,-0.0174574906776,-0.00844069243954,-0.0013044480644286,1.255627798062,-0.0563533345594,-0.396077034628,0.1124671125666,-0.523099281122,0.0283118114002,-0.08471625004612,-0.00400664627409344,0.0188771311356,0.0228602867132,-0.26947335291,-0.0010680298680288,-0.000638500760666,0.0470141321216,0.376098795608,0.623901204392
9,183.84685386,156.386594682,4.53744056048,25.6420197394,13.71708011392,4.06813735802,-9.64894275564,295.674220336,7.1439737034,3.64205794176,58.5315953772,98.9892702012,167.776021644,5.56850006086,1.19124342856,1.49894926392,222.236149098,-0.01372778141086,-0.00876101205454,-0.0040544581176,0.194984517047846,-0.00167036621554,0.2821695874092,0.029063253026324,0.4364900674042,0.0226427910776,0.07041773298122,-0.02170901452854,-0.002618430715042,0.0215249753908,-0.30986029944,-0.00261321905048,-0.000323398898387326,0.0820210530352,0.371571766904,0.628428233096
10,186.989709492,155.919395012,5.25972915716,25.5929551694,9.83667136946,4.342659888,-5.49401148136,310.960894126,7.82735683806,3.64904333532,59.5567200398,100.5596767846,169.014379766,0.971617138992,1.18824681038,1.49866629648,227.632654462,-0.0115862235805306,-0.00531523768086,-0.002989420274692,0.1672153080218,-0.00191423605274,-0.2792501241576,0.0674689292656,-0.425515058314,0.0517018732302,0.09454761715222,0.017554041862496,0.01587412433872,0.0074152026085,-0.835810180184,-0.00251525295072,-0.0001887827002476,0.077972085812,0.371954960936,0.628045039064
