t,Real_GDP,C_r,I_r,G_r,M_r,X_r,NX_r,K_r,INVE_r,P,PROFITS,WAGE,DEBT,PDEBT,PROD,MK,EMP,GDP_G,P_G,CON_G,INV_G,GOV_G,M_G,X_G,NX_G,K_G,INVE_G,PROFITS_G,WAGE_G,DEBT_G,PDEBT_G,PROD_G,MK_G,U,Profit_Share,Wage_Share
1,192.7755083,161.9412188,1.647465614,27.53935833,1.317972491,4.942396842,3.624424351,320,13.76967917,3.75,61.77996053,103.4561895,59.13935576,1.421085472e-14,1,1.5,275.3935833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1393950521,0.3738888889,0.6261111111
2,184.98958,161.9412188,1.482719053,27.53935833,3.576683171,3.947450288,0.403638742,310,12.592116,3.75,62.4738445,95.01701231,98.95590294,0.1648916196,1.123246963,1.5,243.7603833,-0.01009714407,-3.330669074e-16,8.775316638e-16,-0.1,3.870148646e-16,1.713776801,-0.201308512,-0.8886336966,-0.03125,-0.08551856267,0.01123153793,-0.08157247242,0.6732665019,11603216190000,0.1232469632,7.401486831e-16,0.1293707262,0.3966823584,0.603319712
3,187.7521233,160.0462872,2.423736225,28.1552754,5.82401489,4.075929015,-1.667348783,305.6871276,11.48611411,3.667968445,66.24186719,94.15630252,120.1607519,3.09857633,1.168436761,1.533332883,233.0571602,-0.01661230778,0,-0.011701354,0.6346564246,0.0223649754,0.6434324495,0.03266302869,-5.157450681,-0.01391249147,-0.08771204197,0.06031923011,-0.00898944486,0.2145220335,19.26138581,0.04023508925,0.02222192175,0.09813880454,0.4130104829,0.5872683791
4,188.9499234,158.653106,3.067144496,26.96467432,10.45751099,4.002673811,-6.021210831,293.4782223,8.6808147,3.669417943,62.43561267,99.54696623,138.6547654,3.090381705,1.187178965,1.49947974,224.8203143,-0.02168205968,-0.02227343699,-0.008704326741,0.2654621135,-0.04228645673,0.8182760808,-0.01771270033,2.856646346,-0.03993918203,-0.2388189895,-0.05646521216,0.05728320855,0.1543117015,0.01101430993,0.01606043256,-0.02207765839,0.08077343128,0.385488871,0.6152146103
5,187.2289997,157.8455833,4.84362041,27.04079331,12.97319281,4.169111757,-8.510048718,284.4396047,8.970311694,3.659137812,60.86847654,99.57779503,154.6011183,4.190259092,1.192799977,1.504343646,224.297964,-0.02900408839,-0.02170562899,-0.004957012087,0.5794975089,0.002824471984,0.2883092959,0.04333447937,0.4524665916,-0.03079808848,0.03400847469,-0.02253057031,0.0007602133426,0.1163204057,0.3700589789,0.00474421804,0.003243902675,0.05227690008,0.3794538271,0.6228130254
6,185.985771,156.7949622,4.73196579,27.133756,15.40199256,4.044333487,-8.709005766,276.3375466,10.51563987,3.646680618,60.17892055,99.25373014,167.9175377,6.994656091,1.193120833,1.500745266,222.2379151,-0.0178382342,-0.0243270517,-0.006623384627,-0.02264045923,0.003457151461,0.2126966383,-0.02906823379,0.3523049902,-0.02848338658,0.2256692056,-0.003150024406,-0.002956251812,0.08614953586,0.7488040823,0.0002834538735,-0.002382218305,0.0320195572,0.3779937316,0.6282750238
7,185.5348684,157.4259627,2.769037401,27.22232556,19.17123376,3.705900034,-11.07587224,283.6513669,8.168638726,3.634912107,61.23777861,98.00952995,163.5449028,12.00535736,1.19867898,1.502229003,217.169386,-0.01623184472,-0.02751272651,0.004091663888,-0.4148223632,0.003286261836,0.4591683486,-0.06996423327,0.7257712693,0.02681810942,-0.1455276035,0.04003445389,-0.01207509269,-0.0105425461,0.753877295,0.004816899292,0.0009927525838,0.02396764169,0.3845451403,0.6203843935
8,187.8622981,157.3235523,4.781466652,26.06996791,11.57550997,4.093812545,-5.484602605,291.1903959,7.278596953,3.636216417,60.82052318,100.2950693,167.3120404,9.016900377,1.197456531,1.499442286,224.3500729,-0.01212642433,-0.008416447335,0.000835643785,2.180741339,-0.0423159643,-0.2618335536,0.1286895489,-0.3654153458,0.03004757828,-0.006867821433,0.005987568866,0.02331956259,0.02513202636,-0.1954094112,0.00165081759,0.0006041181045,0.05852232701,0.3784403582,0.6259877668
9,187.1482842,157.1402129,6.375220363,26.03166356,15.20350991,4.38591063,-4.520930197,298.9656574,7.861977358,3.643949226,60.34913814,100.6637978,173.1281068,7.077561926,1.194079578,1.499429426,226.8886287,-0.005360201862,-0.008710588467,-0.001165365539,0.8164397912,-0.001324273838,0.437351198,0.127601109,0.727418019,0.02793420414,0.2340520226,-0.006574647662,0.01792441134,0.0470607293,-0.2124042372,-0.001829331089,-3.398401403e-07,0.08800159044,0.3762475416,0.6314067931
10,189.7968933,157.1262196,7.372610152,25.99128536,10.52424278,4.770628104,-3.602919275,317.0805872,9.047050786,3.651749468,60.81803187,102.1977308,174.2700122,2.678183352,1.191485659,1.499450764,231.7715213,-8.821953228e-06,-0.005087355682,0.0004848042949,0.4207089241,-0.001521534034,-0.07422545528,0.1192726478,-0.2030579729,0.07037050369,0.2077552248,0.02849461474,0.02365732223,0.01289955622,-0.6215952075,-0.001409830648,0.0001844156897,0.0835873586,0.375855312,0.630300648
