t,Real_GDP,C_r,I_r,G_r,M_r,X_r,NX_r,K_r,INVE_r,P,PROFITS,WAGE,DEBT,PDEBT,PROD,MK,EMP,GDP_G,P_G,CON_G,INV_G,GOV_G,M_G,X_G,NX_G,K_G,INVE_G,PROFITS_G,WAGE_G,DEBT_G,PDEBT_G,PROD_G,MK_G,U,Profit_Share,Wage_Share
1,192.7755083,161.9412188,1.647465614,27.53935833,1.317972491,4.942396842,3.624424351,320,13.76967917,3.75,61.77996053,103.4561895,59.13935576,1.421085472e-14,1,1.5,275.3935833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1393950521,0.3738888889,0.6261111111
2,184.9710035,161.9412188,1.482719053,27.53935833,3.543811546,3.946962237,0.3702790665,310,12.59044801,3.75,62.4674728,95.00814343,98.92752403,0.1523817413,1.123242979,1.5,243.7282509,-0.01012123498,-3.330669074e-16,-3.510126655e-16,-0.1,-2.580099097e-16,1.688835746,-0.2014072598,-0.8978378273,-0.03125,-0.08563969721,0.01112840258,-0.08165819838,0.6727866368,10722911770000,0.1232429794,0,0.129255945,0.396680288,0.6033176416
3,187.6667932,160.0431972,2.423734629,28.15525687,5.743277797,4.074850416,-1.749164474,305.6869264,11.40176815,3.66796603,66.16555517,94.1408462,120.0707195,3.054773611,1.168411576,1.533331822,233.0026711,-0.01674644782,-5.551115123e-16,-0.01172043501,0.6346553482,0.0223643022,0.6087488733,0.03227402965,-5.698844695,-0.01391314078,-0.09452496012,0.05919574726,-0.009221149834,0.213724094,17.73921532,0.0402099883,0.02222121477,0.09793181058,0.4127316209,0.5869895171
4,188.7091379,158.6198935,3.066327143,26.95221962,10.02388464,3.995949372,-6.461561622,293.4779819,8.552201219,3.669414939,62.25216107,99.49785957,138.400306,2.966582496,1.187166512,1.499479425,224.6532441,-0.02189554152,-0.02227348977,-0.008893247273,0.2651249008,-0.0427287246,0.7211296385,-0.01961485767,2.442335424,-0.03993940851,-0.2547891487,-0.0601853128,0.05676258413,0.1524565176,-0.03915274961,0.01603084931,-0.02207818929,0.08009002519,0.3847853897,0.614511129
5,186.5882608,157.8078018,4.839242827,27.02802054,12.66187431,4.147507154,-8.807778076,282.4119668,8.54105944,3.659082176,60.30038322,99.47356948,151.2435541,3.928525872,1.192609845,1.504320493,224.0029677,-0.02988147052,-0.02170613563,-0.005193119245,0.5781886932,0.002809165951,0.2211187033,0.03726532845,0.3354878759,-0.03770645762,-0.01048227933,-0.03150817629,-0.0005584129922,0.09279783023,0.2888006739,0.004577399704,0.003228442776,0.04428312533,0.3771869746,0.6205461729
6,183.8174592,156.6639743,3.708140279,27.12142102,12.75333925,3.840547331,-11.56144523,272.2769966,8.62597335,3.646501085,58.54612693,98.68271669,163.2636194,5.971917532,1.19161938,1.499833787,220.3589595,-0.02068080407,-0.02433223058,-0.00724840438,-0.2343711465,0.00341603642,-0.01694675802,-0.07482960051,-0.0112142142,-0.03589044152,-0.01961617605,-0.03788647864,-0.008961724106,0.0674474986,0.510150478,-0.0008553626193,-0.002984506988,0.02401076035,0.3717249762,0.6220062684
7,182.3818623,157.0666541,0.9959744919,27.20970867,14.78177228,3.437231957,-15.7340018,279.5228969,6.954304793,3.634619294,59.5876755,96.97183678,158.8912083,9.961740519,1.193176692,1.49852154,213.8102701,-0.02049064658,-0.02752778326,0.001861174046,-0.7314125328,0.003225290588,0.002289775405,-0.1271224694,0.02903891754,0.02637206955,-0.2597895312,-0.005345074993,-0.01821660868,-0.02678129468,0.5162792376,0.001015997836,-0.001076262987,0.01835448604,0.3796156065,0.6154548597
8,183.9261641,156.7144124,3.070728665,25.46359114,9.57841515,3.840513056,-7.73234376,287.7387153,5.841346954,3.635893378,58.97608726,98.54935278,162.6463087,7.249792169,1.192530142,1.499419525,220.7623304,-0.02190261706,-0.008444499947,-0.002611481673,0.7161701974,-0.06429586949,-0.4504123164,0.08394265368,-0.6011712053,0.02647587718,-0.1798305757,-0.01213695832,0.01078907373,0.0215142841,-0.3064282139,-0.003609837596,-0.001859752571,0.04038807017,0.3740122332,0.6215596418
9,181.8503895,155.7694685,3.075225239,25.41652932,8.854488676,3.807428455,-11.39271563,293.7835183,6.064632509,3.640901236,57.69863393,98.10049793,164.6811695,4.484824539,1.188456358,1.497996375,220.0405495,-0.01998922114,-0.008775310076,-0.006149860235,-0.0135803295,-0.002210003166,-0.235067077,-0.009432064662,-0.4153221407,0.02015312268,-0.1117762213,-0.0419656585,-0.01030606295,0.01216351755,-0.4234032926,-0.004998818886,-0.0009589976693,0.07275442527,0.3685932069,0.6237524584
10,185.4506085,155.0431549,4.273126128,25.36223888,8.197260223,4.142053477,-6.369776834,307.590318,6.281554323,3.646626123,58.69788175,99.86431054,164.6811695,0,1.185678656,1.49811433,225.7222174,-0.01888541141,-0.005498354386,-0.005162020521,0.0233145769,-0.002297410106,-0.3619199634,0.03916795268,-0.5534196978,0.04282125546,-0.02852366347,-0.0003069143752,0.008062863632,-0.001914598339,-1,-0.00348758781,-0.0003549158439,0.07232619325,0.369699352,0.624144688
