t,Real_GDP,C_r,I_r,G_r,M_r,X_r,NX_r,K_r,INVE_r,P,PROFITS,WAGE,PROD,MK,EMP,KL,GDP_G,P_G,CON_G,INV_G,GOV_G,M_G,X_G,NX_G,K_G,INVE_G,PROD_G,PROFITS_G,WAGE_G,MK_G,EMP_G,U,Profit_Share,Wage_Share,PCU,PR,CGDP,IGDP,GGDP,NXGDP,INVGDP,KGDP
1,192.7755083,161.9412188,1.647465614,27.53935833,1.317972491,4.942396842,3.624424351,320,13.76967917,3.75,61.77996053,103.4561895,1,1.5,275.3935833,4.3574,1.474342341e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1393950521,0.3738888889,0.6261111111,0.8571428571,0.1930623766,0.8400507937,0.008546031746,0.1428571429,0.01880126984,0.07142857143,1.659961905
2,184.98958,161.9412188,1.482719053,27.53935833,3.576683171,3.947450288,0.403638742,310,12.592116,3.75,62.4738445,95.01701231,1.123246963,1.5,243.7603833,4.769656352,-0.01009714407,-2.220446049e-16,3.510126655e-16,-0.1,2.580099097e-16,1.713776801,-0.201308512,-0.8886336966,-0.03125,-0.08551856267,0.1232469632,0.01123153793,-0.08157247242,1.036208156e-15,-0.1148654214,0.1293707262,0.3966823584,0.603319712,0.9037085666,0.2015285306,0.8754951627,0.008015953987,0.1488847323,0.002181953935,0.06806932583,1.675938359
3,187.7599076,160.0462872,2.423736225,28.1552754,5.82401489,4.076347305,-1.649722439,306.7093662,11.48611411,3.667968492,66.24333137,94.15685058,1.168450191,1.533381889,233.0588562,4.827649628,-0.01661028521,-2.220446049e-16,-0.011701354,0.6346564246,0.0223649754,0.6434324495,0.03269925475,-5.157450681,-0.01061494762,-0.08771204197,0.04024651771,0.0603760211,-0.00898944486,0.02225459257,-0.04381570921,0.101455253,0.4130104829,0.5872683791,0.9151379198,0.2167031574,0.8528163425,0.01291510439,0.1500280093,-0.008786340276,0.06120482963,1.633708547
4,188.8569903,158.6750027,3.264649677,26.96640015,10.41790045,4.079824625,-6.06745126,293.4725606,8.767943956,3.669442406,62.36506771,99.56605769,1.187312485,1.499489799,224.8982927,4.78830073,-0.02176461489,-0.02227343159,-0.008567986268,0.3472144145,-0.04222516942,0.8118769103,0.001034304228,2.876482426,-0.04315748743,-0.2315816949,0.01617469643,-0.05771623624,0.05752834225,-0.02207796055,-0.03490652533,0.0795185596,0.3853460095,0.6155456022,0.915144661,0.2132437957,0.8406591029,0.01729116285,0.1429342204,-0.03212722627,0.04647735794,1.554372549
5,187.1145112,157.8749542,4.770681838,27.0436406,13.26374838,4.204678703,-8.715525414,282.4334315,8.977419383,3.65894013,60.88455322,99.53482277,1.193837938,1.504419329,223.7759822,4.629234278,-0.02919248615,-0.02170562899,-0.004986151342,0.5556212996,0.002878116231,0.3125145402,0.03550140718,0.4969267397,-0.03428048357,0.03169269179,0.005520123269,-0.02127343868,0.0003460435497,0.003294677427,-0.004112169498,0.04796873446,0.3797526921,0.6228372754,0.9379807899,0.2155716578,0.8469694664,0.02549859447,0.1452194246,-0.04659026192,0.04821167254,1.516005886
6,185.6163202,156.8011828,4.958641791,27.13906807,14.99080642,4.055695385,-9.020381378,273.5647571,10.46405661,3.64608218,60.1008209,99.11137227,1.197507469,1.505378513,220.7166131,4.519124174,-0.01845880416,-0.0243270517,-0.006620161007,0.1452606923,0.003562933926,0.1683699804,0.001460768908,0.2698049357,-0.02791075707,0.2182125128,0.003109910355,-0.002329300711,-0.002807465975,0.0006664863202,-0.01188975774,0.03031166776,0.3780509702,0.6277249864,0.9522107037,0.2220112324,0.8511885877,0.02675186388,0.147425619,-0.04866494192,0.05684515065,1.480651185
7,185.1913157,157.3883543,2.881019932,27.22682029,18.50505285,3.670520867,-11.31833115,278.8064342,8.136697678,3.634370011,61.37303848,97.83370214,1.201282177,1.505047733,215.0337953,4.712535404,-0.017227572,-0.02751532577,0.003767430217,-0.4189901079,0.003298690399,0.4249614856,-0.07303538553,0.6420297191,0.02671261383,-0.1594407184,0.003320659157,0.04170200511,-0.01264508551,-0.0002197321153,-0.02480676259,0.02348747674,0.3855806708,0.6194386757,0.9577712732,0.2217074036,0.8589821414,0.01568308906,0.1488507059,-0.06111696496,0.0440704696,1.520972473
8,185.9142506,157.2089402,3.60556444,25.79304668,11.44074009,3.96270018,-6.994384064,284.9784091,7.345681012,3.635891474,60.71196625,99.02492246,1.199440761,1.499309142,221.2625302,4.705097431,-0.01621230597,-0.00841512474,0.0003488608054,0.8523749995,-0.05265459255,-0.2293329579,0.1343877525,-0.3109723792,0.02981257379,0.0213233067,-0.0006671813799,6.267363408e-05,0.01557304906,-0.003734285596,0.03661477315,0.05379568098,0.3808959192,0.6253105108,0.9449044917,0.2130561775,0.8532698374,0.01951191433,0.1393690728,-0.03784051478,0.03962477324,1.54265505
9,187.1656724,156.672189,6.598450518,25.76523404,14.7091589,4.150441472,-6.486945184,292.6322463,7.937952383,3.671653137,60.4649918,99.88627283,1.195246205,1.511829596,224.2811217,4.829485582,-0.008732546017,-0.008710296843,-0.003414253941,1.104717676,-0.0009495812268,0.3886586889,0.09767511215,0.5875044717,0.03398201048,0.2191402223,-0.00223228401,0.003959453217,0.0122182491,0.008353769827,0.01824105806,0.08446174756,0.3794881683,0.6303806568,0.9363462618,0.2066362907,0.8559986866,0.03589112659,0.1398484293,-0.03465884048,0.04361077879,1.597857029
10,187.3350731,156.736837,9.67319893,25.73351362,10.43258771,4.35278189,-3.416837439,462.8248609,8.7362491,3.700800784,62.38878309,100.7875816,1.196005651,1.519404907,227.4689819,7.623747119,-0.004035634936,-0.005138912112,0.000412632551,0.6108722862,-0.001207351657,-0.1949542197,0.1888219434,-0.3067096032,0.5942160224,0.207262676,0.01192228514,0.04933269309,0.01046553074,0.01204808822,0.01648422311,0.08957499216,0.3885097783,0.6286156621,0.9158594655,0.2016710014,0.8443529422,0.05163581369,0.1388576778,-0.01824127172,0.04750722648,2.470572399
