t,Real_GDP,C_r,I_r,G_r,M_r,X_r,NX_r,K_r,INVE_r,P,PROFITS,WAGE,PROD,MK,EMP,KL,GDP_G,P_G,CON_G,INV_G,GOV_G,M_G,X_G,NX_G,K_G,INVE_G,PROD_G,PROFITS_G,WAGE_G,MK_G,EMP_G,U,Profit_Share,Wage_Share,PCU,PR,CGDP,IGDP,GGDP,NXGDP,INVGDP,KGDP
1,192.7755083,161.9412188,1.647465614,27.53935833,1.317972491,4.942396842,3.624424351,320,13.76967917,3.75,61.77996053,103.4561895,1,1.5,275.3935833,4.3574,1.474342341e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1393950521,0.3738888889,0.6261111111,0.8571428571,0.1930623766,0.8400507937,0.008546031746,0.1428571429,0.01880126984,0.07142857143,1.659961905
2,184.9710035,161.9412188,1.482719053,27.53935833,3.543811546,3.946962237,0.3702790665,310,12.59044801,3.75,62.4674728,95.00814343,1.123242979,1.5,243.7282509,4.769027617,-0.01012123498,-2.220446049e-16,-5.265189983e-16,-0.1,-5.160198195e-16,1.688835746,-0.2014072598,-0.8978378273,-0.03125,-0.08563969721,0.1232429794,0.01112840258,-0.08165819838,-1.480297366e-16,-0.1149820996,0.129255945,0.396680288,0.6033176416,0.9035878241,0.2015079768,0.875407246,0.008015149029,0.1488697814,0.002001822229,0.06806714445,1.675770062
3,187.6667932,160.0431972,2.423259165,28.15525651,5.726069744,4.074697015,-1.749164474,305.6869225,11.40176815,3.66796603,66.16555517,94.1408462,1.168411576,1.533331822,233.0017835,4.811016489,-0.01674644782,-7.771561172e-16,-0.01172043501,0.6343346776,0.02236428916,0.6087488733,0.03225351851,-5.698844695,-0.01391315336,-0.09452496012,0.0402099883,0.05919574726,-0.009221149834,0.02222121477,-0.0441323239,0.09792454145,0.4127316209,0.5869895171,0.9149250545,0.2159212799,0.8523925861,0.01290765671,0.1499535293,-0.009320528922,0.06072785596,1.628073709
4,188.649793,158.510028,3.066215482,26.95221437,9.860539939,3.698645402,-6.474531016,292.4589042,8.521321049,3.669415541,62.16751614,99.47666978,1.187157724,1.499478798,224.5943782,4.773386085,-0.02199664476,-0.02227348977,-0.009594698173,0.2650786995,-0.04272891097,0.6930828862,-0.09251578795,2.468771147,-0.04327313849,-0.2549634485,0.01601055202,-0.06150718905,0.05657301586,-0.02210283669,-0.03622019534,0.07610542691,0.3844543978,0.6146539905,0.9141525753,0.212164698,0.8394658632,0.01623640431,0.1427122943,-0.03431432681,0.04513353318,1.548573361
5,186.2084203,157.6861153,4.279513946,27.0296258,12.652613,3.76353094,-9.353579404,281.4186329,8.334216187,3.658885881,60.18886233,99.30914931,1.193644761,1.504375867,223.231733,4.60142338,-0.03049859721,-0.02170613563,-0.005204294988,0.3262390046,0.002863697581,0.2326876084,0.008859469739,0.3528204232,-0.03775008518,-0.02363984366,0.005334357744,-0.03270943374,-0.002164863413,0.003258486852,-0.006895881257,0.04220601844,0.3771627246,0.6202473079,0.9357398169,0.213263717,0.843161749,0.02297971644,0.1445158826,-0.05022593807,0.04455306204,1.508492477
6,184.0800225,156.4934182,4.194147285,27.12537949,12.79822855,3.670852078,-11.19491578,270.5468949,8.487904627,3.645944906,58.75684743,98.78402298,1.196992264,1.505307435,219.5841268,4.488943583,-0.02089810536,-0.02433223058,-0.007565778697,-0.1094345764,0.003526372744,-0.02847403531,-0.05001008042,-0.029995947,-0.03863214061,-0.01344600987,0.002648084548,-0.03362431709,-0.006696339865,0.0006063061432,-0.01812632636,0.02308163171,0.3722750136,0.6219490298,0.9489056553,0.2155753344,0.844485739,0.02267203364,0.146186962,-0.06081548465,0.04574128894,1.46081076
7,182.9014498,156.9381439,1.519286961,27.21330454,14.73247703,3.317468144,-14.91653559,274.8452185,6.844820466,3.633962534,59.82047233,97.06875637,1.199086608,1.504925243,212.6410189,4.687113895,-0.02045167821,-0.02752777838,0.002248119796,-0.641628,0.003191199707,-0.004477929452,-0.1134104323,0.01863369493,0.01553594094,-0.2748444743,0.001557009239,-0.001928467279,-0.01753342463,-0.0002828020392,-0.03161935248,0.0169924828,0.3805613243,0.6144193292,0.9508891592,0.2151352209,0.8478769268,0.008284920807,0.1470190706,-0.08152063644,0.03729329307,1.494778394
8,183.4699799,156.5046864,2.598567745,25.38142864,10.59235003,3.138813833,-8.080022174,281.635399,6.154551484,3.635519588,58.92041611,98.1343266,1.194684978,1.499277265,218.821987,4.663880778,-0.02178834233,-0.008444261098,-0.003029207945,0.2514888911,-0.06767993145,-0.4027100694,-0.08888077637,-0.5115804693,0.0150676872,-0.2117773424,-0.00392638097,-0.02171796071,0.006668178977,-0.003834076735,0.01885506623,0.04124605522,0.3746894892,0.6191040808,0.3763801981,0.2081766266,0.8455883566,0.01410012249,0.137685647,-0.04374937152,0.0333403671,1.524101391
9,182.0181295,154.7110624,3.97655085,25.29243594,10.42486593,3.300452554,-11.32698154,289.55767,5.768461909,3.639194474,57.6983902,97.76818292,1.178450362,1.480619501,219.7821321,4.748160018,-0.01853740079,-0.008775217899,-0.01300962218,0.3672549008,-0.009841220721,-0.07571479469,-0.02171841437,-0.1450893521,0.02635397061,-0.09889302417,-0.0139564576,-0.03403408361,-0.01009641354,-0.01246020322,-0.003652943616,0.06871467102,0.3696193432,0.6205118317,0.9042886782,0.1986154415,0.8370775845,0.02126196379,0.1372248311,-0.06174154067,0.03082008487,1.56340394
10,183.7363905,153.6509867,3.916781738,25.09323175,7.517672418,3.447105987,-6.511036675,294.4017178,6.964048761,3.643663185,58.47941463,98.19606334,1.191318591,1.49806057,221.8783858,4.78433685,-0.02015906295,-0.005588101225,-0.007278174434,-0.01516695769,-0.007876037868,-0.3551936669,0.04063747417,-0.5098187599,0.006198726437,-0.0125756695,-0.001060022247,-0.01521502609,0.001446442726,-0.0005355982307,0.003646222349,0.06948862827,0.3713843379,0.6114902217,0.8974190844,0.1347999824,0.8201933798,0.02092295302,0.1339483917,-0.03537877547,0.03717856293,1.586187625
11,185.782809,154.7772697,3.841960082,25.11578141,2.441371292,3.627844349,-0.143650818,296.9385571,7.272197526,3.647887268,59.45663123,99.24355869,1.192032014,1.498305211,224.3827548,4.761388413,-0.009933244721,-0.0006599982804,-0.001410119371,-0.06683404993,-0.001625449713,-0.756977072,0.04290405567,-1.339953035,0.004686247091,-0.0372396157,-0.001475880169,0.004270615672,0.001978434422,-0.001861488131,0.004017201575,0.08209780805,0.3721802241,0.6089238808,0.8976580386,0.1298389048,0.8089286048,0.02034256082,0.1312447127,-0.0007720670625,0.03819138422,1.575800588
12,186.8191783,155.3080995,3.916252642,26.83127723,1.338013653,3.70242901,1.113150852,303.1440544,8.51847294,3.651399783,58.66397863,101.2814081,1.192958001,1.49893654,226.128688,4.85474234,0.0001738740078,0.003859365606,0.003207590947,-0.07982139087,0.05820296707,-0.6155199332,-0.003238522858,-44.33293756,-0.02941493143,0.1024136635,-0.0007569461869,-0.02468802808,0.01546144435,-0.002431293992,0.001048296001,0.09061709191,0.3643889897,0.6160714352,0.8783226941,0.1339851006,0.8018623704,0.02054744937,0.1411088138,0.005956930343,0.04356743407,1.606900216
