t,Real_GDP,C_r,I_r,G_r,M_r,X_r,NX_r,K_r,INVE_r,P,PROFITS,WAGE,DEBT,PDEBT,PROD,MK,EMP,GDP_G,P_G,CON_G,INV_G,GOV_G,M_G,X_G,NX_G,K_G,INVE_G,PROFITS_G,WAGE_G,DEBT_G,PDEBT_G,PROD_G,MK_G,U,Profit_Share,Wage_Share
1,192.7755083,161.9412188,1.647465614,27.53935833,1.317972491,4.942396842,3.624424351,320,13.76967917,3.75,61.77996053,103.4561895,59.13935576,1.421085472e-14,1,1.5,275.3935833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1393950521,0.3738888889,0.6261111111
2,184.98958,161.9412188,1.482719053,27.53935833,3.576683171,3.947450288,0.403638742,310,12.592116,3.75,62.4738445,95.01701231,98.95590294,0.1648916196,1.123246963,1.5,243.7603833,-0.01009714407,-3.330669074e-16,8.775316638e-16,-0.1,3.870148646e-16,1.713776801,-0.201308512,-0.8886336966,-0.03125,-0.08551856267,0.01123153793,-0.08157247242,0.6732665019,11603216190000,0.1232469632,7.401486831e-16,0.1293707262,0.3966823584,0.603319712
3,187.7521233,160.0462872,2.423736225,28.1552754,5.82401489,4.075929015,-1.667348783,305.6871276,11.48611411,3.667968445,66.24186719,94.15630252,120.1607519,3.09857633,1.168436761,1.533332883,233.0571602,-0.01661230778,0,-0.011701354,0.6346564246,0.0223649754,0.6434324495,0.03266302869,-5.157450681,-0.01391249147,-0.08771204197,0.06031923011,-0.00898944486,0.2145220335,19.26138581,0.04023508925,0.02222192175,0.09813880454,0.4130104829,0.5872683791
4,188.8570126,158.6750215,3.067144248,26.96467282,10.41792338,4.079826042,-6.067471465,293.4782088,8.783684421,3.669418224,62.35283724,99.54613967,138.6682308,3.104548764,1.187178965,1.499479812,224.8203143,-0.02176458592,-0.02227343699,-0.008567868959,0.2654620111,-0.04228651028,0.8118808978,0.001034651842,2.86439979,-0.03993917843,-0.2302009424,-0.05771612479,0.05727442964,0.1544593256,0.0150114244,0.01606043256,-0.02207757987,0.08077343128,0.3851766592,0.6155456022
5,187.1968746,157.8664894,4.862533754,27.04081416,12.98057319,4.255024206,-8.49087795,284.4396707,9.026855359,3.659133887,60.89640934,99.5833605,154.5594254,4.318106257,1.192831907,1.504343222,224.3245501,-0.02908512304,-0.02170562899,-0.005037565123,0.5857223121,0.002824905762,0.2913232009,0.04345993066,0.4490402874,-0.03079743216,0.03127950577,-0.02088619755,0.0007359984687,0.1159421557,0.3944085117,0.00476966109,0.003243588426,0.0532118959,0.3797567837,0.6227968262
6,185.9355164,156.7862216,4.732055488,27.13380245,15.35307781,4.121172176,-8.605984145,276.3368666,10.54945378,3.646691216,60.15451129,99.22767872,167.7650489,7.049127865,1.19312177,1.500752248,222.1992217,-0.01795841125,-0.0243270517,-0.006669979552,-0.01066898866,0.003456764588,0.2196896572,-0.02726230302,0.3595000547,-0.02848588526,0.230102351,-0.002463017063,-0.002569046498,0.08652201385,0.7490619904,0.0002833801748,-0.002377204727,0.03226192707,0.3780961174,0.6284202941
7,185.5468995,157.383063,2.771563837,27.22261979,19.18907915,3.737617998,-11.26335937,283.6501149,8.421630183,3.634912268,61.29551248,97.99670174,163.3924141,12.23110317,1.198679127,1.502228956,217.1344485,-0.01586164211,-0.02751279323,0.004042092743,-0.4143002244,0.003286204677,0.4973075935,-0.07122368252,0.7816893327,0.02681598896,-0.1150939367,0.03778940891,-0.01203052899,-0.01067431131,0.7501186827,0.004817389789,0.0009876386674,0.02443866084,0.3848696766,0.6213561761
8,187.5272679,157.3140105,4.77290016,26.07081389,11.58887544,4.104300044,-5.571408875,291.1898427,7.646802129,3.636216341,60.67983379,100.1514757,167.0010669,9.443084805,1.197550638,1.499442366,224.140714,-0.01218551385,-0.008416242318,0.001016419518,2.15259322,-0.04214608096,-0.2608796257,0.1650146346,-0.3469529447,0.0300438143,0.02348910477,0.004940943892,0.0229391701,0.02406864641,-0.1854681935,0.001612449604,0.0006106650694,0.05967526794,0.3790303858,0.626592118
9,189.4239787,157.061668,6.367667106,26.03182106,14.70415535,4.313360093,-5.789048998,299.0144998,7.9824323,3.643323268,61.26749903,101.0283627,174.546373,7.146274758,1.194399484,1.499418955,227.6532065,-0.004614374684,-0.008710439302,-0.001604068365,0.8610570204,-0.001204949232,0.4293837882,0.1157855818,0.6947417134,0.02791377049,0.2077501848,0.009684687711,0.01625480057,0.04563622152,-0.2233668756,-0.001739663926,-5.344556116e-06,0.09014251522,0.3775049986,0.6310342602
10,190.0371357,157.0091217,7.369371207,25.99112219,10.49840831,4.669659552,-2.7726375,317.0688482,8.996816976,3.651294318,60.43695656,102.541492,174.3615698,2.801102808,1.191720634,1.499372445,233.0183,0.002862180093,-0.005077620271,0.002489310778,0.4314811569,-0.001563427678,-0.1025523014,0.1195471877,-0.1942234495,0.06668733898,0.2689817068,0.02564578428,0.02043796525,0.01292272228,-0.6070041678,-0.001403241399,0.0001862624785,0.08557119048,0.3741551861,0.6304941474
