t,Real_GDP,C_r,I_r,G_r,M_r,X_r,NX_r,K_r,INVE_r,P,PROFITS,WAGE,DEBT,PDEBT,PROD,MK,EMP,GDP_G,P_G,CON_G,INV_G,GOV_G,M_G,X_G,NX_G,K_G,INVE_G,PROFITS_G,WAGE_G,DEBT_G,PDEBT_G,PROD_G,MK_G,U,Profit_Share,Wage_Share
1,192.7755083,161.9412188,1.647465614,27.53935833,1.317972491,4.942396842,3.624424351,320,13.76967917,3.75,61.77996053,103.4561895,59.13935576,1.421085472e-14,1,1.5,275.3935833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1393950521,0.3738888889,0.6261111111
2,184.9710035,161.9412188,1.482719053,27.53935833,3.543811546,3.946962237,0.3702790665,310,12.59044801,3.75,62.4674728,95.00814343,98.92752403,0.1523817413,1.123242979,1.5,243.7282509,-0.01012123498,-3.330669074e-16,-3.510126655e-16,-0.1,-2.580099097e-16,1.688835746,-0.2014072598,-0.8978378273,-0.03125,-0.08563969721,0.01112840258,-0.08165819838,0.6727866368,10722911770000,0.1232429794,0,0.129255945,0.396680288,0.6033176416
3,187.6667932,160.0431972,2.423734629,28.15525687,5.743277797,4.074850416,-1.749164474,305.6869264,11.40176815,3.66796603,66.16555517,94.1408462,120.0707195,3.054773611,1.168411576,1.533331822,233.0026711,-0.01674644782,-5.551115123e-16,-0.01172043501,0.6346553482,0.0223643022,0.6087488733,0.03227402965,-5.698844695,-0.01391314078,-0.09452496012,0.05919574726,-0.009221149834,0.213724094,17.73921532,0.0402099883,0.02222121477,0.09793181058,0.4127316209,0.5869895171
4,188.6498154,158.5100468,3.066326909,26.95221756,9.860561628,3.698646905,-6.474552015,293.4779595,8.597990976,3.669415107,62.1675235,99.4972425,138.355301,3.000670056,1.187166512,1.499479382,224.6532441,-0.02199661579,-0.02227348977,-0.009594580919,0.2651248041,-0.04272879775,0.6930866103,-0.09251541922,2.468782699,-0.03993948187,-0.2473853736,-0.06150707792,0.05675603016,0.1520903076,-0.0281121201,0.01603084931,-0.02207814996,0.08009002519,0.3844543978,0.6148233408
5,186.4782851,157.6776074,4.764033957,27.02804767,12.46496736,3.844130738,-8.835770377,282.4122503,8.545992574,3.659080703,60.26749616,99.40345196,151.1433731,3.942714748,1.192637382,1.504319397,223.780286,-0.03016313978,-0.02170613563,-0.005251650769,0.553499652,0.002810320272,0.2179910548,0.03546848476,0.3270402379,-0.03770541832,-0.0228762805,-0.03154679614,-0.001254439281,0.09242921667,0.2965934387,0.004598892924,0.003227629566,0.04422475262,0.3772031738,0.6202432163
6,183.7520281,156.5143837,3.708129764,27.12142738,12.51476182,3.598847826,-11.60007221,272.2759243,8.656916818,3.646500657,58.50207123,98.65464022,163.0181487,6.030658843,1.191622183,1.499849704,220.2665663,-0.02084939811,-0.02433223058,-0.007377228157,-0.2365985423,0.003412044098,-0.02639898157,-0.07449524281,-0.02600636074,-0.03589405602,-0.02441982307,-0.03881434965,-0.008887691349,0.06686405297,0.5088443105,-0.000868600735,-0.00298471412,0.02429896765,0.3715797059,0.6219038826
7,182.3082045,156.962596,0.9959755422,27.20970781,14.87746772,3.17256435,-15.7418302,279.5213338,6.947511986,3.634613369,59.25588186,96.91845312,158.6457376,9.897231047,1.193183081,1.49851598,213.6528343,-0.02100078665,-0.02752777838,0.001793622877,-0.7314128346,0.003225168274,0.01621626778,-0.1290657945,0.04787108827,0.02636951537,-0.263585417,-0.00824041607,-0.01840433713,-0.02682162163,0.5221912983,0.001018478796,-0.001086927355,0.01871147345,0.3786438239,0.6151303234
8,183.4108583,156.3902717,3.066197636,25.45090969,9.520352626,3.189495077,-8.071516541,287.7389377,5.951701993,3.63588627,58.69611189,98.21691144,162.3797135,6.992656941,1.192523981,1.499421533,219.8664783,-0.02259187877,-0.00844474195,-0.003711939388,0.7126702057,-0.06485393014,-0.4522104652,-0.05055369004,-0.5955646281,0.02648263822,-0.1886634685,-0.01512428703,0.01005509858,0.02147134008,-0.3067892206,-0.003366171417,-0.001859308349,0.04064081466,0.373407882,0.6209696142
9,181.7522996,155.4074386,3.053816247,25.40839758,9.582335261,3.265473008,-11.25517253,293.8047283,5.755703434,3.640466627,57.66734354,97.88095145,164.4145784,2.96784228,1.188968308,1.498534937,219.4375716,-0.02066805587,-0.008775695422,-0.006284489704,-0.0163806993,-0.001999301581,-0.1697522345,-0.006483388419,-0.2733503956,0.02004324427,-0.1428900151,-0.03865053911,-0.008697372476,0.01218931431,-0.6144869944,-0.004405583494,-0.0006039419854,0.07152281843,0.3689657398,0.6224950014
10,185.07957,154.6083569,4.27265894,25.35457754,7.097099286,3.575463918,-6.698400003,307.5934494,6.629358986,3.64622057,58.63221586,99.35250894,164.4145784,0,1.185781008,1.498073717,224.2128416,-0.02004944324,-0.005498287386,-0.005285360968,0.02287530743,-0.002274451529,-0.3493940885,0.03734981288,-0.5228290802,0.04345962617,0.003983576624,-0.01913386214,0.006868869734,-0.001931588934,-1,-0.003413388446,-0.0003630243383,0.06673729027,0.3695058526,0.6258448139
