t,Real_GDP,C_r,I_r,G_r,M_r,X_r,NX_r,K_r,INVE_r,P,PROFITS,WAGE,DEBT,PDEBT,PROD,MK,EMP,GDP_G,P_G,CON_G,INV_G,GOV_G,M_G,X_G,NX_G,K_G,INVE_G,PROFITS_G,WAGE_G,DEBT_G,PDEBT_G,PROD_G,MK_G,U,Profit_Share,Wage_Share
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.00362775320462541,0,0,0,0.006419405551888,9.53100776342545e-05,0.00651471561562691,0,0.000325736051550714,0,0.00124431071276042,0.00173197454286995,0.00530942279365903,0.0024430183561589,7.75052257353277e-07,0,0.00627503092383114,4.70463824803023e-06,0,1.70085800680574e-16,0,1.50715001881862e-16,0.00487066731798306,1.92841736654719e-05,0.00179744835750122,0,2.36560187035347e-05,2.01410076813023e-05,1.67411365359809e-05,8.97781763391489e-05,171912133137.314,7.75072608274639e-07,1.57371977522479e-16,2.24152282398596e-05,4.04321490110202e-07,4.04321490117766e-07
3,0.0168224841585335,0.000604075583524912,2.8812894575194e-07,3.34411744286469e-06,0.0157007082019282,0.000224586857791621,0.0159236960376924,3.63060278351865e-05,0.0171542835399974,4.35689596023726e-07,0.01489422593703,0.00302909008266828,0.0166800506096103,0.00798134674838354,3.35839378055037e-06,1.7011314841235e-07,0.0108427727223379,2.46082724004245e-05,7.65250598267554e-17,3.73020480773369e-06,1.94352058643948e-07,1.21445537817238e-07,0.00482752710764859,5.83930359012122e-05,0.0908766718612696,1.17135809610997e-07,0.0013772163337877,0.000226349527511678,4.09746724219916e-05,0.000154343848579,0.270141111280477,3.34353233221503e-06,1.13352351989744e-07,4.16453146663924e-05,5.53934064169542e-05,5.5393406416947e-05
4,0.0471569809848842,0.0367712733523667,0.000146959371122564,0.00247241138710133,0.101737077724658,0.0785642824396098,0.0702738521473432,4.32687395327916e-05,0.0432663070911688,5.40452827546211e-07,0.0415538005408552,0.0105651417778746,0.0615065175165818,0.0215727770229433,2.58780633885159e-06,7.12970675119129e-08,0.0359964180193374,5.04893607188391e-05,1.04054139674084e-08,0.000229695627212375,6.06793367016147e-05,8.78704312549322e-05,0.0209921159535839,0.0192712823474472,0.072739066998491,4.87662904687361e-08,0.00405782794984992,0.00076369499432983,0.000123955866402081,0.000473750707650974,0.00893940447827747,4.33344303263508e-06,8.81450751712888e-08,0.000146506551255063,0.000162339995584657,0.000162339995584658
5,0.271531166423434,0.0414144572243798,0.0203528165297379,0.00249556311603421,0.130960936893288,0.0864997555664502,0.0944377627116758,0.693649732567928,0.143136553382934,1.45539403319849e-05,0.241684377354418,0.0372091895262546,1.45158111330826,0.104879820655104,6.62886898765624e-05,6.1064063307282e-06,0.114962307891287,0.000359082398720069,8.43189026063714e-08,4.7293259768388e-05,0.00664778967162563,3.99601702239768e-06,0.01431938204145,0.00240077865503268,0.023511389261318,0.00236355688181075,0.0165641998522651,0.00395214567180397,0.000426225711261925,0.0104695281540857,0.0329337581027892,5.6261409316782e-05,4.07971910506567e-06,0.00258031877656648,0.000943350897174464,0.000943350897174465
6,0.48164475751901,0.0618111165787618,0.506216456020608,0.00246738376591959,0.687476862146202,0.106151817858017,0.717060113032131,1.12758567542271,0.566494241064304,3.39899383384006e-05,0.429123904115757,0.18392426297649,1.09737890075958,0.251041276852837,0.00056076685467563,0.000367475091480382,0.617155748333026,0.000655373070988116,8.13443108220065e-07,0.00025632396658777,0.105121164658518,9.62818925600892e-06,0.0586829783109407,0.0179857503941985,0.090914253620859,0.00233469496162538,0.073938386515441,0.00967372690360502,0.00187361404706937,0.00546266399519799,0.0552832257305648,0.00046237605602453,0.00024406695010514,0.00239286884302257,0.00183895222761817,0.00183895222761817
7,0.813745386570897,0.0901631955450339,0.618585907714098,0.00250430552937744,1.18225289207349,0.101779840951092,1.22762202784166,1.14153651644567,0.433234433201123,6.63265765281862e-05,0.452970423840875,0.278287911856403,1.28515328095227,0.603904598474901,0.00150920394773881,0.00128084537434464,0.895573581360683,0.00130411919656974,3.19709287051805e-06,0.000494587468530113,0.113817569320673,1.58103573832032e-05,0.138754823109339,0.016520109713113,0.20739999713128,0.000109919573000942,0.0301475896533739,0.0137186978394608,0.00183908734682938,0.0047399102801637,0.0614110559502299,0.00110834119534714,0.0007278357744435,0.00138070668910785,0.00132338236250793,0.00132338236250794
8,1.05181911256171,0.197811910337158,0.638149884676509,0.155488675059263,0.55673604265801,0.189479572365445,0.676943429423307,1.04205275694501,0.287877613983342,8.10053243110371e-05,0.504503444915171,0.47227172583535,1.34447124009336,0.613494385182458,0.0016621091074296,5.40363015759589e-06,1.0114310517565,0.00264381600630118,5.55655322410435e-06,0.00103166921560292,0.542232532913943,0.00571278545221919,0.0448577877793389,0.0418033409480042,0.0530998617917685,0.00164482522211477,0.0525255711694318,0.00584672358304507,0.00320302567966343,0.000782602385408788,0.0262510379048656,0.00144353893552958,0.000852770292240387,0.00560757689944652,0.00136538810944581,0.00136538810944581
9,1.42301029828269,0.378537413084925,0.846233395622642,0.15703837799931,1.23041027636399,0.22193812186386,1.30418993115425,1.27680377681922,0.44495294477055,0.000664266681999567,0.692697584398952,0.5812742298262,2.8437944459268,0.717581084698426,0.00154935480051288,0.000263211060094844,1.50711141349416,0.00369322703976109,1.51018198170876e-05,0.0012449777419762,0.268999639724503,0.000191082901752943,0.141588698310568,0.0370884318272329,0.236296713775725,0.00333847479650157,0.0709571732837693,0.00856661567089753,0.00563835967765374,0.0150342759949613,0.0646801070347283,0.000767124537939441,0.00017750694970355,0.00374506928873365,0.00171668541489795,0.00171668541489795
10,1.08159310638894,0.557632470667005,1.01802477073883,0.160621779338699,0.67905583273602,0.254210150930114,0.796841238796826,2.10345148514125,0.577840567460368,0.00140397395252035,0.433240548153261,0.553859787014457,2.61660073764233,0.837038665482763,0.00146686395501893,0.000350521845572357,1.52484992566597,0.00513525747750025,0.000101498790560478,0.00144059684344989,0.136324752838563,0.00022837767842809,0.0484618205357739,0.0243825298028702,0.0651609126166035,0.00460626701245253,0.0482847788256213,0.00806789894618127,0.00281813363638045,0.00654681843880224,0.132595109532022,0.000440883420447548,0.000109550723674315,0.00314623504585905,0.00115345570278467,0.00115345570278467
11,0.89783630896157,0.736064187955942,0.250097530702559,0.164547443169408,0.5158950714089,0.204786684179917,0.478463318940718,2.65632976743103,0.441731290490048,0.00195844344281643,0.321141641341821,0.599489802682129,3.0238614145272,0,0.00111014283187487,0.000313016824534815,1.24036335900063,0.00436060992964561,0.000203334629818262,0.0015226229452329,0.254269024548177,0.00021295604555137,0.0652225760855401,0.0502177332757942,0.0816303572839413,0.00317220935616496,0.0572972885913586,0.00774826811872516,0.00591190449489688,0.0092124102451692,0.388087934491604,0.000954824795376643,9.51800494574927e-05,0.00466832156511989,0.00151345245983137,0.00151345245983137
12,1.08018442974435,0.751530500485675,0.38346131665971,0.129446418825262,0.00935436722468705,0.213004026472255,0.210409589936806,2.75032142563171,0.353199223401047,0.00225021404799217,0.346114310181026,0.659346717850794,2.84172309547916,0.341232327439624,0.000721822495476443,0.000168565545331414,1.47476865426828,0.00392115077954933,0.000339424575447029,0.000424831331630222,0.0314556318301034,0.00375865148619859,0.0742458351908015,0.00522586957479,0.867192629059839,0.0027523820911655,0.0701881290262154,0.00643746207659863,0.00358312566231653,0.00612556366591546,0,0.000676771925197328,0.000147329058101916,0.0039176158834888,0.00142562450784223,0.00142562450784223
