t,Real_GDP,C_r,I_r,G_r,M_r,X_r,NX_r,K_r,INVE_r,P,PROFITS,WAGE,DEBT,PDEBT,PROD,MK,EMP,GDP_G,P_G,CON_G,INV_G,GOV_G,M_G,X_G,NX_G,K_G,INVE_G,PROFITS_G,WAGE_G,DEBT_G,PDEBT_G,PROD_G,MK_G,U,Profit_Share,Wage_Share
1,192.7755083,161.9412188,1.647465614,27.53935833,1.317972491,4.942396842,3.624424351,320,13.76967917,3.75,61.77996053,103.4561895,59.13935576,1.421085472e-14,1,1.5,275.3935833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1393950521,0.3738888889,0.6261111111
2,184.985241802,161.9412188,1.482719053,27.53935833,3.5514880294,3.94733631408,0.395848284414,310,12.5917264724,3.75,62.4723565184,95.0149411392,98.9386622586,0.155303162828,1.12324391972,1.5,243.752879374,-0.010102770035,-3.330669074e-16,1.50935446196e-16,-0.1,1.70286540404e-16,1.6946602097,-0.20133157251,-0.89078312966,-0.03125,-0.085546851114,0.0112074528148,-0.081592492204,0.672974975504,10928488536600,0.123243919592,3.2270482582e-16,0.129282750116,0.396681874972,0.603318125028
3,187.724452656,160.04556268,2.42373503958,28.1552616364,5.7666623428,4.07563932428,-1.69102301846,305.686978164,11.4374848368,3.66796782362,66.21325206,94.1493555454,120.116957804,3.06552966228,1.16841759752,1.53333228008,233.031599956,-0.016653207532,-3.19744231102e-16,-0.0117058281492,0.634655624934,0.0223644754588,0.62373505218,0.0325036940494,-5.27321090324,-0.0139129736708,-0.0916666478564,0.0598808112866,-0.00910999402294,0.21405479961,18.7431188444,0.0402171578246,0.0222215200862,0.098028036116,0.41289707294,0.58710292706
4,188.79064702,158.644102236,3.06668781256,26.961256315,10.335668992,4.01700178372,-6.3186672085,293.478068656,8.64418919212,3.6694168583,62.3056063164,99.5189937704,138.519824156,3.04795088658,1.18717465484,1.49947949498,224.729444008,-0.021820955947,-0.0222734493336,-0.0087566342969,0.265273539566,-0.0424078929472,0.792354475612,-0.0143873080216,2.73724088126,-0.0399392528244,-0.244220725538,-0.0590159428388,0.0570331933408,0.153207893122,-0.005715290208502,0.016053384754,-0.022077918494,0.0804636364842,0.385019353364,0.614980646636
5,186.873367942,157.833409588,4.8464979949,27.0372252878,12.8637524268,4.18094922758,-8.68280319948,283.40549522,8.73457323704,3.65910656124,60.569431111,99.5452817446,152.687586884,4.06726920908,1.19272621882,1.50433363698,224.19876627,-0.0294751186062,-0.0217058053802,-0.00511013413432,0.580368880992,0.00281770889398,0.244663708612,0.0408134187382,0.374349246012,-0.0343213837938,0.01045012347222,-0.027865386263,0.0002641711946014,0.1022795857656,0.334442165012,0.00467628245546,0.00323721792886,0.0483366723884,0.378286577748,0.621713422252
6,185.236604106,156.73351769,4.3222192406,27.1303171444,13.55324582,3.98360039598,-9.56964542358,273.98793334,9.11240547142,3.64655112276,59.8179287172,98.9585050976,164.572205104,6.51099283346,1.19223390934,1.50019400282,221.285423734,-0.0192407554072,-0.024331644649,-0.00696869130294,-0.1081865498474,0.0034430996267,0.0538142465082,-0.047199491506,0.1025998911541,-0.0332306646372,0.04366249095092,-0.01238507322786,-0.00589456122244,0.0778722825038,0.60084165301,-0.000412760695168,-0.00275180598858,0.0269170954336,0.376740242696,0.623259757304
7,183.377817324,157.246942366,1.724764152024,27.2187125372,17.8957440808,3.55896842238,-14.3367756586,281.262385582,7.42262873892,3.63470859708,59.9783010782,97.4207294602,160.474628838,11.01775874764,1.19591935842,1.50062102028,215.27773444,-0.0184399310312,-0.0275226180668,0.00327577927028,-0.607943161512,0.00325817769264,0.325110066521,-0.106506152221,0.5089765574428,0.0265504197132,-0.184990507282,0.00274523784502,-0.0155389672474,-0.0248974927276,0.692329518376,0.00309113128586,0.000284573522558,0.0227137250522,0.381054388606,0.618945611394
8,185.567023406,157.035609914,3.82013087264,25.6748699642,10.74146042418,3.98857647574,-6.75288394838,289.23340419,6.74535775646,3.63598103274,59.8541713096,99.2161858044,164.17629965,8.02972617144,1.19473411626,1.49943319658,222.346983786,-0.017528108074,-0.00844061422292,-0.0013440660871,1.39251739701,-0.056719866998,-0.39810379988,0.1207349735,-0.527127918198,0.0283423464256,-0.08971853910656,-0.002050302649292,0.0184272876614,0.023066313197,-0.271778771218,-0.000989959044598,-0.000790837512216,0.0478915960266,0.376273131272,0.623726868728
9,184.12870866,156.396210086,4.74255047372,25.6320163742,13.3405439994,4.1458507287,-9.19469327022,295.9461694,7.13619437828,3.64206060064,58.6616496182,99.0980536154,168.154758346,5.34555356428,1.19134949208,1.4989806174,222.579775558,-0.01344772982388,-0.00875974441896,-0.00407269309068,0.26566466606592,-0.00166924007978,0.24744610753034,0.03981231991602,0.38007639432158,0.0232095791462,0.059158574410846,-0.01992417500134,-0.001174867472891,0.0242474731586,-0.334496379586,-0.00283258555794,-0.00030183332822328,0.081600095875,0.371834367532,0.628165632468
10,187.174200044,155.975572572,5.4293873081,25.583935923,9.79332844398,4.41862802128,-5.3747004226,311.595897004,7.77024144434,3.64890732168,59.65274509,100.620250806,169.388453174,0.761056073333,1.1883902317,1.4987455471,227.80375918,-0.011190520088336,-0.005299753514,-0.0026910117863674,0.1455853801054,-0.00187631010134,-0.262989844486,0.0655676902372,-0.412662973216,0.0528720164492,0.08915007027612,0.01693471982032,0.01536372594068,0.00736614120266,-0.868329198418,-0.00248365076992,-0.0001568258247548,0.0781414770094,0.372191984746,0.627808015254
